Anas diazi,0,
Anas eatoni,0,
Anas erythrorhyncha,0,
Anas flavirostris,0,
Anas fulvigula,0,
Anas georgica,1,
Anas gibberifrons,1,
Anas gracilis,1,
Anas laysanensis,0,
Anas luzonica,1,
Anas melleri,0,
Anas nesiotis,0,
Anas platyrhynchos,1,
Anas poecilorhyncha,1,
Anas rubripes,0,
Anas sparsa,0,
Anas superciliosa,1,
Anas theodori,0,
Anas undulata,1,
Anas wyvilliana,0,
Anas zonorhyncha,1,
Leipoa ocellata,0,
Talegalla cuvieri,0,
Talegalla fuscirostris,1,
Talegalla jobiensis,0,
Alectura lathami,0,
Aepypodius arfakianus,0,
Aepypodius bruijnii,0,
Macrocephalon maleo,0,
Eulipoa wallacei,0,
Megapodius bernsteinii,0,
Megapodius cumingii,0,
Megapodius decollatus,0,
Megapodius eremita,1,
Megapodius freycinet,0,
Megapodius geelvinkianus,0,
Megapodius laperouse,1,
Megapodius layardi,1,
Megapodius nicobariensis,0,
Megapodius pritchardii,0,
Megapodius reinwardt,1,
Megapodius tenimberensis,0,
Penelopina nigra,0,
Chamaepetes goudotii,1,
Chamaepetes unicolor,0,
Aburria aburri,0,
Pipile cujubi,0,
Pipile cumanensis,1,
Pipile grayi,0,
Pipile jacutinga,0,
Pipile pipile,0,
Penelope albipennis,0,
Penelope argyrotis,0,
Penelope barbata,0,
Penelope bridgesi,0,
Penelope dabbenei,0,
Penelope jacquacu,0,
Penelope jacucaca,0,
Penelope marail,0,
Penelope montagnii,1,
Penelope obscura,1,
Penelope ochrogaster,0,
Penelope ortoni,0,
Penelope perspicax,0,
Penelope pileata,0,
Penelope purpurascens,1,
Penelope superciliaris,0,
Oreophasis derbianus,0,
Crax alberti,0,
Crax alector,0,
Crax blumenbachii,0,
Crax daubentoni,0,
Crax fasciolata,0,
Crax globulosa,4,
Crax rubra,5,
Pauxi koepckeae,0,
Pauxi pauxi,0,
Pauxi unicornis,0,
Nothocrax urumutum,0,
Mitu mitu,0,
Mitu salvini,0,
Mitu tomentosum,0,
Mitu tuberosum,0,
Ortalis araucuan,0,
Ortalis canicollis,0,
Ortalis cinereiceps,1,
Ortalis columbiana,1,
Ortalis erythroptera,0,
Ortalis garrula,0,
Ortalis guttata,1,
Ortalis leucogastra,0,
Ortalis motmot,0,
Ortalis poliocephala,0,
Ortalis ruficauda,1,
Ortalis ruficeps,0,
Ortalis squamata,0,
Ortalis superciliaris,0,
Ortalis vetula,1,
Ortalis wagleri,0,
Numida meleagris,1,
Agelastes meleagrides,0,
Agelastes niger,0,
Acryllium vulturinum,0,
Guttera edouardi,0,
Guttera plumifera,0,
Guttera pucherani,0,
Guttera verreauxi,0,
Ptilopachus nahani,0,
Ptilopachus petrosus,0,
Rhynchortyx cinctus,0,
Oreortyx pictus,0,
Dendrortyx barbatus,0,
Dendrortyx leucophrys,1,
Dendrortyx macroura,0,
Philortyx fasciatus,0,
Colinus cristatus,0,
Colinus leucopogon,0,
Colinus nigrogularis,0,
Colinus virginianus,0,
Callipepla californica,0,
Callipepla douglasii,0,
Callipepla gambelii,0,
Callipepla squamata,0,
Cyrtonyx montezumae,0,
Cyrtonyx ocellatus,0,
Dactylortyx thoracicus,0,
Odontophorus atrifrons,0,
Odontophorus balliviani,0,
Odontophorus capueira,0,
Odontophorus columbianus,0,
Odontophorus dialeucos,0,
Odontophorus erythrops,0,
Odontophorus gujanensis,1,
Odontophorus guttatus,1,
Odontophorus hyperythrus,0,
Odontophorus leucolaemus,0,
Odontophorus melanonotus,1,
Odontophorus melanotis,0,
Odontophorus speciosus,0,
Odontophorus stellatus,0,
Odontophorus strophium,0,
Xenoperdix udzungwensis,0,
Caloperdix oculeus,1,
Rollulus rouloul,1,
Melanoperdix niger,0,
Arborophila ardens,1,
Arborophila atrogularis,1,
Arborophila brunneopectus,1,
Arborophila cambodiana,0,
Arborophila campbelli,1,
Arborophila crudigularis,1,
Arborophila davidi,1,
Arborophila gingica,1,
Arborophila hyperythra,1,
Arborophila javanica,0,
Arborophila mandellii,1,
Arborophila orientalis,0,
Arborophila rolli,0,
Arborophila rubrirostris,1,
Arborophila rufipectus,1,
Arborophila rufogularis,1,
Arborophila sumatrana,0,
Arborophila torqueola,1,
Lerwa lerwa,1,
Ithaginis cruentus,1,
Tragopan blythii,0,
Tragopan caboti,1,
Tragopan melanocephalus,0,
Tragopan satyra,0,
Tragopan temminckii,1,
Tetraophasis obscurus,1,
Tetraophasis szechenyii,1,
Lophophorus impejanus,1,
Lophophorus lhuysii,1,
Lophophorus sclateri,1,
Rhizothera dulitensis,0,
Rhizothera longirostris,0,
Pucrasia macrolopha,0,
Meleagris gallopavo,0,
Meleagris ocellata,1,
Bonasa umbellus,0,
Tetrastes bonasia,1,
Tetrastes sewerzowi,1,
Centrocercus minimus,0,
Centrocercus urophasianus,0,
Dendragapus fuliginosus,0,
Dendragapus obscurus,0,
Tympanuchus cupido,0,
Tympanuchus pallidicinctus,0,
Tympanuchus phasianellus,0,
Lagopus lagopus,0,
Lagopus leucura,0,
Lagopus muta,1,
Lagopus scotica,0,
Falcipennis falcipennis,0,
Canachites canadensis,0,
Tetrao urogalloides,1,
Tetrao urogallus,0,
Lyrurus mlokosiewiczi,0,
Lyrurus tetrix,1,
Perdix dauurica,1,
Perdix hodgsoniae,1,
Perdix perdix,0,
Syrmaticus ellioti,1,
Syrmaticus humiae,1,
Syrmaticus mikado,0,
Syrmaticus reevesii,1,
Syrmaticus soemmerringii,0,
Chrysolophus amherstiae,1,
Chrysolophus pictus,0,
Phasianus colchicus,1,
Phasianus versicolor,0,
Catreus wallichii,0,
Crossoptilon auritum,1,
Crossoptilon crossoptilon,1,
Crossoptilon harmani,1,
Crossoptilon mantchuricum,0,
Lophura bulweri,1,
Lophura diardi,1,
Lophura edwardsi,0,
Lophura erythrophthalma,0,
Lophura ignita,0,
Lophura inornata,0,
Lophura leucomelanos,1,
Lophura nycthemera,1,
Lophura pyronota,0,
Lophura rufa,0,
Lophura swinhoii,1,
Argusianus argus,1,
Rheinardia nigrescens,0,
Rheinardia ocellata,0,
Afropavo congensis,0,
Pavo cristatus,1,
Pavo muticus,1,
Tropicoperdix charltonii,0,
Tropicoperdix chloropus,1,
Tropicoperdix graydoni,1,
Haematortyx sanguiniceps,1,
Galloperdix bicalcarata,1,
Galloperdix lunulata,0,
Galloperdix spadicea,0,
Polyplectron bicalcaratum,1,
Polyplectron chalcurum,1,
Polyplectron germaini,1,
Polyplectron inopinatum,1,
Polyplectron katsumatae,1,
Polyplectron malacense,1,
Polyplectron napoleonis,1,
Polyplectron schleiermacheri,0,
Bambusicola fytchii,1,
Bambusicola sonorivox,0,
Bambusicola thoracicus,1,
Gallus gallus,1,
Gallus lafayettii,1,
Gallus sonneratii,0,
Gallus varius,1,
Peliperdix lathami,0,
Campocolinus albogularis,0,
Campocolinus coqui,0,
Campocolinus schlegelii,0,
Scleroptila afra,0,
Scleroptila elgonensis,0,
Scleroptila finschi,0,
Scleroptila gutturalis,0,
Scleroptila levaillantii,0,
Scleroptila psilolaema,1,
Scleroptila shelleyi,1,
Scleroptila streptophora,0,
Scleroptila whytei,0,
Ortygornis gularis,0,
Ortygornis pondicerianus,1,
Ortygornis sephaena,1,
Francolinus francolinus,1,
Francolinus pictus,0,
Francolinus pintadeanus,1,
Tetraogallus altaicus,1,
Tetraogallus caspius,0,
Tetraogallus caucasicus,0,
Tetraogallus himalayensis,1,
Tetraogallus tibetanus,1,
Ammoperdix griseogularis,0,
Ammoperdix heyi,0,
Synoicus adansonii,0,
Synoicus chinensis,1,
Synoicus monorthonyx,0,
Synoicus ypsilophorus,1,
Margaroperdix madagarensis,0,
Coturnix coromandelica,1,
Coturnix coturnix,1,
Coturnix delegorguei,0,
Coturnix japonica,1,
Coturnix novaezelandiae,0,
Coturnix pectoralis,0,
Alectoris barbara,0,
Alectoris chukar,1,
Alectoris graeca,0,
Alectoris magna,1,
Alectoris melanocephala,0,
Alectoris philbyi,0,
Alectoris rufa,0,
Ophrysia superciliosa,0,
Perdicula argoondah,0,
Perdicula asiatica,0,
Perdicula erythrorhyncha,0,
Perdicula manipurensis,0,
Pternistis adspersus,0,
Pternistis afer,1,
Pternistis ahantensis,0,
Pternistis bicalcaratus,0,
Pternistis camerunensis,0,
Pternistis capensis,0,
Pternistis castaneicollis,1,
Pternistis clappertoni,1,
Pternistis erckelii,0,
Pternistis griseostriatus,0,
Pternistis hartlaubi,0,
Pternistis harwoodi,0,
Pternistis hildebrandti,0,
Pternistis icterorhynchus,0,
Pternistis jacksoni,0,
Pternistis leucoscepus,1,
Pternistis natalensis,0,
Pternistis nobilis,0,
Pternistis ochropectus,0,
Pternistis rufopictus,0,
Pternistis squamatus,0,
Pternistis swainsonii,0,
Pternistis swierstrai,0,
Phoeniconaias minor,1,
Phoenicoparrus andinus,1,
Phoenicoparrus jamesi,0,
Phoenicopterus chilensis,0,
Phoenicopterus roseus,1,
Phoenicopterus ruber,1,
Rollandia microptera,1,
Rollandia rolland,0,
Tachybaptus dominicus,0,
Tachybaptus novaehollandiae,1,
Tachybaptus pelzelnii,0,
Tachybaptus ruficollis,1,
Tachybaptus rufolavatus,0,
Podilymbus gigas,0,
Podilymbus podiceps,1,
Poliocephalus poliocephalus,0,
Poliocephalus rufopectus,1,
Podiceps andinus,0,
Podiceps auritus,1,
Podiceps cristatus,1,
Podiceps gallardoi,0,
Podiceps grisegena,1,
Podiceps major,0,
Podiceps nigricollis,1,
Podiceps occipitalis,1,
Podiceps taczanowskii,0,
Aechmophorus clarkii,0,
Aechmophorus occidentalis,0,
Corythaeola cristata,0,
Crinifer concolor,0,
Crinifer leucogaster,1,
Crinifer personatus,1,
Crinifer piscator,0,
Crinifer zonurus,0,
Gallirex johnstoni,1,
Gallirex porphyreolophus,0,
Menelikornis leucotis,1,
Menelikornis ruspolii,1,
Tauraco bannermani,0,
Tauraco corythaix,0,
Tauraco erythrolophus,0,
Tauraco fischeri,1,
Tauraco hartlaubi,0,
