Aythya australis,Least Concern
Aythya baeri,Critically Endangered
Aythya collaris,Least Concern
Aythya ferina,Vulnerable
Aythya fuligula,Least Concern
Aythya innotata,Critically Endangered
Aythya marila,Least Concern
Aythya novaeseelandiae,Least Concern
Aythya nyroca,Near Threatened
Aythya valisineria,Least Concern
Salvadorina waigiuensis,Least Concern
Lophonetta specularioides,Least Concern
Speculanas specularis,Near Threatened
Amazonetta brasiliensis,Least Concern
Tachyeres brachypterus,Least Concern
Tachyeres leucocephalus,Vulnerable
Tachyeres patachonicus,Least Concern
Tachyeres pteneres,Least Concern
Sibirionetta formosa,Least Concern
Spatula clypeata,Least Concern
Spatula cyanoptera,Least Concern
Spatula discors,Least Concern
Spatula hottentota,Least Concern
Spatula platalea,Least Concern
Spatula puna,Least Concern
Spatula querquedula,Least Concern
Spatula rhynchotis,Least Concern
Spatula smithii,Least Concern
Spatula versicolor,Least Concern
Mareca americana,Least Concern
Mareca falcata,Least Concern
Mareca marecula,Extinct
Mareca penelope,Least Concern
Mareca sibilatrix,Least Concern
Mareca strepera,Least Concern
Anas acuta,Least Concern
Anas albogularis,Near Threatened
Anas andium,Least Concern
Anas aucklandica,Near Threatened
Anas bahamensis,Least Concern
Anas bernieri,Endangered
Anas capensis,Least Concern
Anas castanea,Least Concern
Anas chlorotis,Near Threatened
Anas crecca,Least Concern
Anas diazi,Unknown
Anas eatoni,Vulnerable
Anas erythrorhyncha,Least Concern
Anas flavirostris,Least Concern
Anas fulvigula,Least Concern
Anas georgica,Least Concern
Anas gibberifrons,Near Threatened
Anas gracilis,Least Concern
Anas laysanensis,Critically Endangered
Anas luzonica,Vulnerable
Anas melleri,Endangered
Anas nesiotis,Vulnerable
Anas platyrhynchos,Least Concern
Anas poecilorhyncha,Least Concern
Anas rubripes,Least Concern
Anas sparsa,Least Concern
Anas superciliosa,Least Concern
Anas theodori,Extinct
Anas undulata,Least Concern
Anas wyvilliana,Vulnerable
Anas zonorhyncha,Least Concern
Leipoa ocellata,Vulnerable
Talegalla cuvieri,Least Concern
Talegalla fuscirostris,Least Concern
Talegalla jobiensis,Least Concern
Alectura lathami,Least Concern
Aepypodius arfakianus,Least Concern
Aepypodius bruijnii,Endangered
Macrocephalon maleo,Critically Endangered
Eulipoa wallacei,Vulnerable
Megapodius bernsteinii,Vulnerable
Megapodius cumingii,Least Concern
Megapodius decollatus,Least Concern
Megapodius eremita,Least Concern
Megapodius freycinet,Least Concern
Megapodius geelvinkianus,Near Threatened
Megapodius laperouse,Near Threatened
Megapodius layardi,Least Concern
Megapodius nicobariensis,Vulnerable
Megapodius pritchardii,Vulnerable
Megapodius reinwardt,Least Concern
Megapodius tenimberensis,Vulnerable
Penelopina nigra,Vulnerable
Chamaepetes goudotii,Least Concern
Chamaepetes unicolor,Least Concern
Aburria aburri,Least Concern
Pipile cujubi,Vulnerable
Pipile cumanensis,Least Concern
Pipile grayi,Near Threatened
Pipile jacutinga,Endangered
Pipile pipile,Critically Endangered
Penelope albipennis,Endangered
Penelope argyrotis,Least Concern
Penelope barbata,Near Threatened
Penelope bridgesi,Unknown
Penelope dabbenei,Least Concern
Penelope jacquacu,Least Concern
Penelope jacucaca,Vulnerable
Penelope marail,Least Concern
Penelope montagnii,Least Concern
Penelope obscura,Least Concern
Penelope ochrogaster,Vulnerable
Penelope ortoni,Endangered
Penelope perspicax,Vulnerable
Penelope pileata,Vulnerable
Penelope purpurascens,Near Threatened
Penelope superciliaris,Near Threatened
Oreophasis derbianus,Endangered
Crax alberti,Critically Endangered
Crax alector,Least Concern
Crax blumenbachii,Endangered
Crax daubentoni,Near Threatened
Crax fasciolata,Vulnerable
Crax globulosa,Endangered
Crax rubra,Vulnerable
Pauxi koepckeae,Critically Endangered
Pauxi pauxi,Vulnerable
Pauxi unicornis,Critically Endangered
Nothocrax urumutum,Least Concern
Mitu mitu,Extinct in the Wild
Mitu salvini,Least Concern
Mitu tomentosum,Least Concern
Mitu tuberosum,Near Threatened
Ortalis araucuan,Least Concern
Ortalis canicollis,Least Concern
Ortalis cinereiceps,Least Concern
Ortalis columbiana,Least Concern
Ortalis erythroptera,Vulnerable
Ortalis garrula,Least Concern
Ortalis guttata,Least Concern
Ortalis leucogastra,Least Concern
Ortalis motmot,Least Concern
Ortalis poliocephala,Least Concern
Ortalis ruficauda,Least Concern
Ortalis ruficeps,Unknown
Ortalis squamata,Least Concern
