GALLIFORMES: Odontophoridae

Wilson's Snipe	Gallinago delicata	美洲沙锥	
Wilson's Phalarope	Phalaropus tricolor	细嘴瓣蹼鹬	Rare
Red-necked Phalarope	Phalaropus lobatus	红颈瓣蹼鹬	
Red Phalarope	Phalaropus fulicarius	灰瓣蹼鹬	
Spotted Sandpiper	Actitis macularius	斑腹矶鹬	
Solitary Sandpiper	Tringa solitaria	褐腰草鹬	Rare
Wandering Tattler	Tringa incana	漂鹬	
Lesser Yellowlegs	Tringa flavipes	小黄脚鹬	Rare
Willet	Tringa semipalmata	斑翅鹬	
Greater Yellowlegs	Tringa melanoleuca	大黄脚鹬	
 
CHARADRIIFORMES: Laridae

Black Skimmer	Rynchops niger	黑剪嘴鸥	Rare
Black-legged Kittiwake	Rissa tridactyla	三趾鸥	
Sabine's Gull	Xema sabini	叉尾鸥	Rare
Bonaparte's Gull	Chroicocephalus philadelphia	博氏鸥	
Franklin's Gull	Leucophaeus pipixcan	弗氏鸥	Rare
Heermann's Gull	Larus heermanni	红嘴灰鸥	
Mew Gull	Larus canus	海鸥	
Ring-billed Gull	Larus delawarensis	环嘴鸥	Rare
California Gull	Larus californicus	加州鸥	
Glaucous-winged Gull	Larus glaucescens	灰翅鸥	
Western Gull	Larus occidentalis	西美鸥	
Glaucous Gull	Larus hyperboreus	北极鸥	Rare
Iceland Gull	Larus glaucoides	冰岛鸥	Rare
American Herring Gull	Larus smithsonianus	美國銀鷗	
Caspian Tern	Hydroprogne caspia	红嘴巨鸥	Rare
Royal Tern	Thalasseus maximus	橙嘴凤头燕鸥	
Elegant Tern	Thalasseus elegans	丽色凤头燕鸥	
Common Tern	Sterna hirundo	普通燕鸥	Rare
Arctic Tern	Sterna paradisaea	北极燕鸥	Rare
Forster's Tern	Sterna forsteri	弗氏燕鸥	
Black Tern	Chlidonias niger	黑浮鸥	Rare
 
CHARADRIIFORMES: Stercorariidae

South Polar Skua	Stercorarius maccormicki	灰贼鸥	Rare
Pomarine Jaeger	Stercorarius pomarinus	中贼鸥	
Parasitic Jaeger	Stercorarius parasiticus	短尾贼鸥	
Long-tailed Jaeger	Stercorarius longicaudus	长尾贼鸥	Rare
 
CHARADRIIFORMES: Alcidae

Common Murre	Uria aalge	崖海鸦	
Pigeon Guillemot	Cepphus columba	海鸽	
Marbled Murrelet	Brachyramphus marmoratus	斑海雀	Rare
Guadalupe Murrelet	Synthliboramphus hypoleucus	白腹海雀	Rare
Scripps's Murrelet	Synthliboramphus scrippsi	斯氏海雀	
Craveri's Murrelet	Synthliboramphus craveri	克氏海雀	Rare
Ancient Murrelet	Synthliboramphus antiquus	扁嘴海雀	
Cassin's Auklet	Ptychoramphus aleuticus	海雀	
Rhinoceros Auklet	Cerorhinca monocerata	角嘴海雀	
Horned Puffin	Fratercula corniculata	角海鹦	Rare
Tufted Puffin	Fratercula cirrhata	簇羽海鹦	
 
PHAETHONTIFORMES: Phaethontidae

Red-billed Tropicbird	Phaethon aethereus	红嘴鹲	
 
GAVIIFORMES: Gaviidae

Red-throated Loon	Gavia stellata	红喉潜鸟	
Pacific Loon	Gavia pacifica	太平洋潜鸟	
Common Loon	Gavia immer	普通潜鸟	
 
PROCELLARIIFORMES: Oceanitidae

Wilson's Storm Petrel	Oceanites oceanicus	黄蹼洋海燕	Rare
 
PROCELLARIIFORMES: Diomedeidae

Black-footed Albatross	Phoebastria nigripes	黑脚信天翁	Rare
Short-tailed Albatross	Phoebastria albatrus	短尾信天翁	Rare
 
PROCELLARIIFORMES: Hydrobatidae

Least Storm Petrel	Oceanodroma microsoma	小海燕	Rare
Leach's Storm Petrel	Oceanodroma leucorhoa	白腰叉尾海燕	
Black Storm Petrel	Oceanodroma melania	美州黑叉尾海燕	
Ashy Storm Petrel	Oceanodroma homochroa	灰叉尾海燕	
Fork-tailed Storm Petrel	Oceanodroma furcata	灰蓝叉尾海燕	Rare
 
PROCELLARIIFORMES: Procellariidae

Northern Fulmar	Fulmarus glacialis	暴风鹱	
Buller's Shearwater	Ardenna bulleri	灰背鹱	
Sooty Shearwater	Ardenna grisea	灰鹱	
Short-tailed Shearwater	Ardenna tenuirostris	短尾鹱	
Pink-footed Shearwater	Ardenna creatopus	粉脚鹱	
Flesh-footed Shearwater	Ardenna carneipes	淡足鹱	Rare
Manx Shearwater	Puffinus puffinus	大西洋鹱	Rare
Black-vented Shearwater	Puffinus opisthomelas	黑腹鹱	
 
SULIFORMES: Fregatidae

Magnificent Frigatebird	Fregata magnificens	华丽军舰鸟	Rare
 
SULIFORMES: Sulidae

Blue-footed Booby	Sula nebouxii	蓝脚鲣鸟	Rare
Red-footed Booby	Sula sula	红脚鲣鸟	
Brown Booby	Sula leucogaster	褐鲣鸟	Rare
 
SULIFORMES: Phalacrocoracidae

Brandt's Cormorant	Phalacrocorax penicillatus	加州鸬鹚	
Pelagic Cormorant	Phalacrocorax pelagicus	海鸬鹚	
Double-crested Cormorant	Phalacrocorax auritus	角鸬鹚	
 
PELECANIFORMES: Threskiornithidae

