ANSERIFORMES: Anatidae

Wandering Whistling Duck	Dendrocygna arcuata	斑胸树鸭	
Lesser Whistling Duck	Dendrocygna javanica	栗树鸭	
Garganey	Spatula querquedula	白眉鸭	
Northern Shoveler	Spatula clypeata	琵嘴鸭	
Mallard	Anas platyrhynchos	绿头鸭	
Northern Pintail	Anas acuta	针尾鸭	
Eurasian Teal	Anas crecca	绿翅鸭	
Tufted Duck	Aythya fuligula	凤头潜鸭	
 
GALLIFORMES: Megapodiidae

Philippine Megapode	Megapodius cumingii	菲律宾塚雉	
 
GALLIFORMES: Phasianidae

Black Partridge	Melanoperdix niger	黑鹑	
King Quail	Excalfactoria chinensis	蓝胸鹑	
Crested Partridge	Rollulus rouloul	冕鹧鸪	
Crestless Fireback	Lophura erythrophthalma	棕尾火背鹇	
Crested Fireback	Lophura ignita	凤冠火背鹇	
Bulwer's Pheasant	Lophura bulweri	鳞背鹇	
Great Argus	Argusianus argus	大眼斑雉	
 
CAPRIMULGIFORMES: Podargidae

Large Frogmouth	Batrachostomus auritus	大蟆口鸱	
Gould's Frogmouth	Batrachostomus stellatus	鳞腹蟆口鸱	
Bornean Frogmouth	Batrachostomus mixtus	婆羅蟆口鴟	Endemic (country/region)
Blyth's Frogmouth	Batrachostomus affinis	星喉蟆口鸱	
Sunda Frogmouth	Batrachostomus cornutus	巽他蟆口鸱	
 
CAPRIMULGIFORMES: Caprimulgidae

Malaysian Eared Nightjar	Lyncornis temminckii	马来毛腿夜鹰	
Grey Nightjar	Caprimulgus jotaka	普通夜鹰	
Large-tailed Nightjar	Caprimulgus macrurus	长尾夜鹰	
Savanna Nightjar	Caprimulgus affinis	林夜鹰	
Bonaparte's Nightjar	Caprimulgus concretus	白喉夜鹰	
 
APODIFORMES: Hemiprocnidae

Grey-rumped Treeswift	Hemiprocne longipennis	灰腰雨燕	
Whiskered Treeswift	Hemiprocne comata	小须凤头雨燕	
 
APODIFORMES: Apodidae

Giant Swiftlet	Hydrochous gigas	瀑布雨燕	Rare/Accidental
Plume-toed Swiftlet	Collocalia affinis	毛趾金丝燕	
Mossy-nest Swiftlet	Aerodramus salangana	苔巢金丝燕	
Ameline Swiftlet	Aerodramus amelis	阿美林金丝燕	
Black-nest Swiftlet	Aerodramus maximus	大金丝燕	
Edible-nest Swiftlet	Aerodramus fuciphagus	爪哇金丝燕	
Silver-rumped Spinetail	Rhaphidura leucopygialis	银腰针尾雨燕	
White-throated Needletail	Hirundapus caudacutus	白喉针尾雨燕	
Brown-backed Needletail	Hirundapus giganteus	褐背针尾雨燕	
Asian Palm Swift	Cypsiurus balasiensis	棕雨燕	
Pacific Swift	Apus pacificus	白腰雨燕	
