云南鸟种
 血雉
 红腹角雉
 白腹锦鸡
 斑头雁
 灰雁
 斑头秋沙鸭
 普通秋沙鸭
 翘鼻麻鸭
 赤麻鸭
  赤嘴潜鸭
  红头潜鸭
  白眼潜鸭
  凤头潜鸭
  琵嘴鸭
  罗纹鸭
  赤膀鸭
  赤颈鸭
  绿头鸭
  针尾鸭
  绿翅鸭
  小鸊鷉
  凤头鸊鷉
  黑颈鸊鷉
  山斑鸠
  黑水鸡
  白骨顶
  灰鹤
  池鹭
  牛背鹭
  苍鹭
  大白鹭
  中白鹭
  白鹭
  普通鸬鹚
  鹮嘴鹬
  凤头麦鸡
  灰头麦鸡
  金眶鸻
  扇尾沙锥
  矶鹬
  白腰草鹬
  棕头鸥
  红嘴鸥
  西伯利亚银鸥
  黑翅鸢
  凤头鹰
  松雀鹰
  雀鹰
  苍鹰
  普通鵟
  戴胜
  普通翠鸟
  白胸翡翠
  班姬啄木鸟
  赤胸啄木鸟
  大斑啄木鸟
  红隼
  白喉扇尾鹟
  灰背伯劳
  黄嘴蓝鹊
  红嘴蓝鹊
  喜鹊
  灰喜鹊
  星鸦
  大嘴乌鸦
  黄腹扇尾鹟
  黑冠山雀
  煤山雀
  褐冠山雀
  黑喉山雀
  大山雀
  绿背山雀
  小云雀
  山鹪莺
  纯色山鹪莺
  家燕
  岩燕
  凤头雀嘴鹎
  黄臀鹎
  白喉红臀鹎
  灰喉柳莺
  黄眉柳莺
  四川柳莺
  褐柳莺
  红头长尾山雀
  黑眉长尾山雀
  宝兴鹛雀
  白眉雀鹛
  中华雀鹛
  棕头雀鹛
  褐头雀鹛
   褐翅鸦雀
  白领凤鹛
  黄颈凤鹛
  灰腹绣眼鸟
  斑胸钩嘴鹛
  棕颈钩嘴鹛
  斑翅鹩鹛
   褐胁雀鹛
   灰翅噪鹛
   眼纹噪鹛
   白点噪鹛
   白颊噪鹛
   矛纹草鹛
   黑顶噪鹛
   橙翅噪鹛
   红顶噪鹛
   蓝翅希鹛
   斑喉希鹛
   黑头奇鹛
   霍氏旋木雀
   高山旋木雀
   栗臀䴓
   滇䴓
   鹪鹩
   褐河乌
   八哥
   灰椋鸟
   长尾地鸫
   宝兴歌鸫
   棕腹仙鹟
   蓝眉林鸲
   白额燕尾
   紫啸鸫
   黑喉红尾鸲
   白喉红尾鸲
   北红尾鸲
   蓝额红尾鸲
   红尾水鸲
   白顶溪鸲
   黑喉石䳭
   戴菊
   领岩鹨
   栗背岩鹨
   棕胸岩鹨
   斑文鸟
   山麻雀
   麻雀
   粉红胸鹨
   黄腹鹨
   田鹨
   黄鹡鸰
   灰鹡鸰
  白鹡鸰 
   燕雀
   棕朱雀
   淡腹点翅朱雀
   酒红朱雀
   红眉松雀
   白眉朱雀
   黑头金翅雀
   西南灰眉岩鹀
   黄喉鹀
   小鹀
   棕背伯劳
   华西柳莺
   小嘴乌鸦
   水鹨

