GALLIFORMES: Odontophoridae

Golden-crowned Sparrow,Zonotrichia atricapilla,Rare
Dark-eyed Junco,Junco hyemalis,
Guadalupe Junco,Junco insularis,Endemic
Chipping Sparrow,Spizella passerina,Rare
Vesper Sparrow,Pooecetes gramineus,Rare
Spotted Towhee,Pipilo maculatus,Extirpated
 
PASSERIFORMES: Icteridae

Yellow-headed Blackbird,Xanthocephalus xanthocephalus,Rare
Western Meadowlark,Sturnella neglecta,
Eastern Meadowlark,Sturnella magna,Near-threatened
Scott's Oriole,Icterus parisorum,
Hooded Oriole,Icterus cucullatus,Rare
Orchard Oriole,Icterus spurius,Rare
Brown-headed Cowbird,Molothrus ater,Rare
Brewer's Blackbird,Euphagus cyanocephalus,Rare
 
PASSERIFORMES: Parulidae

Ovenbird,Seiurus aurocapilla,Rare
Worm-eating Warbler,Helmitheros vermivorum,
Black-and-white Warbler,Mniotilta varia,Rare
Common Yellowthroat,Geothlypis trichas,Rare
Magnolia Warbler,Setophaga magnolia,Rare
American Yellow Warbler,Setophaga aestiva,Rare
Black-throated Blue Warbler,Setophaga caerulescens,Rare
Palm Warbler,Setophaga palmarum,Rare
Myrtle Warbler,Setophaga coronata,Rare
Townsend's Warbler,Setophaga townsendi,
Wilson's Warbler,Cardellina pusilla,Rare
 
PASSERIFORMES: Cardinalidae

Summer Tanager,Piranga rubra,Rare
Western Tanager,Piranga ludoviciana,
Rose-breasted Grosbeak,Pheucticus ludovicianus,Rare
Black-headed Grosbeak,Pheucticus melanocephalus,Rare
