Plectropterus gambensis,0,
Sarkidiornis melanotos,0,
Sarkidiornis sylvicola,0,
Cyanochen cyanoptera,0,
Alopochen aegyptiaca,1,单型种(全);-----------------------------------------------------;2023-1-9 阿联酋迪拜
Alopochen kervazoi,0,
Alopochen mauritiana,0,
Neochen jubata,0,
Chloephaga hybrida,0,
Chloephaga melanoptera,0,
Chloephaga picta,0,
Chloephaga poliocephala,0,
Chloephaga rubidiceps,0,
Radjah radjah,0,
Tadorna cana,1,单型种(全);-----------------------------------------------------;2022-7-3 多伦多动物园
Tadorna cristata,0,
Tadorna ferruginea,1,单型种(全);-----------------------------------------------------;2020-7-29 西藏日喀则贡觉林卡;2021-5-4 泉州淗江;2021-5-17 内蒙古阿拉善月亮湖
Tadorna tadorna,1,单型种(全);-----------------------------------------------------;2019-8-19 新加坡裕廊飞禽公园;2020-1-31 闽江口湿地公园;2021-5-17 内蒙古阿拉善月亮湖
Tadorna tadornoides,0,
Tadorna variegata,1,单型种(全);-----------------------------------------------------;2019-1-13 新西兰基督城植物园
Malacorhynchus membranaceus,0,
Salvadorina waigiuensis,0,
Cairina moschata,2,3-25 Cerro Lodge 9.91%;3-25 Tarcoles--Tour en Bote 29.48%;3-26 PN Carara-Entrada principal 19.50%
Asarcornis scutulata,0,
Pteronetta hartlaubii,0,
Aix galericulata,1,单型种(全);-----------------------------------------------------;2019-7-7 三明市明溪县当州
Aix sponsa,1,单型种(全);-----------------------------------------------------;2019-8-19 新加坡裕廊飞禽公园;2022-6-11 多伦多High park
Chenonetta jubata,0,
Nettapus auritus,0,
Nettapus coromandelianus,0,
Nettapus pulchellus,0,
Amazonetta brasiliensis,0,
Callonetta leucophrys,1,单型种(全);-----------------------------------------------------;2019-5-7 香港动植物公园
Lophonetta specularioides,0,
Speculanas specularis,0,
Sibirionetta formosa,1,单型种(全);-----------------------------------------------------;2021-4-23 杭州动物园
Spatula clypeata,1,单型种(全);-----------------------------------------------------;2019-12-21 深圳湾;2022-9-5 多伦多Thompson公园
Spatula cyanoptera,0,
Spatula discors,1,单型种(全);-----------------------------------------------------;2022-8-1 多伦多Thompson公园;2022-12-28 古巴萨塔纳
Spatula hottentota,0,
Spatula platalea,0,
Spatula puna,0,
Spatula querquedula,1,单型种(全);-----------------------------------------------------;2020-4-8 厦门翔安东埭桥水库
Spatula rhynchotis,1,单型种(全);-----------------------------------------------------;2019-1-14 新西兰奥克兰动物园
Spatula smithii,0,
Spatula versicolor,0,
Mareca americana,1,单型种(全);-----------------------------------------------------;2022-6-18 多伦多Thompson公园
Mareca falcata,1,单型种(全);-----------------------------------------------------;2021-1-18 厦门东埭桥水库
Mareca marecula,0,
Mareca penelope,1,单型种(全);-----------------------------------------------------;2018-11-6 泉州南安江崎村;2023-1-11 阿联酋迪拜
Mareca sibilatrix,0,
Mareca strepera,1,2个亚种(全，仅剩指名亚种);-----------------------------------------------------;2021-2-9 厦门东埭桥水库;2021-5-15 宁夏石嘴山星海湖;2022-6-18 多伦多Thompson公园
Anas acuta,1,单型种(全);-----------------------------------------------------;2019-2-26 泉州湾;2019-12-21 深圳湾;2022-9-26 多伦多Thompson公园
Anas albogularis,0,
Anas andium,0,
Anas aucklandica,0,
Anas bahamensis,0,
Anas bernieri,0,
Anas capensis,0,
Anas carolinensis,1,单型种(全);-----------------------------------------------------;2022-7-9 多伦多Thompson公园
Anas castanea,0,
Anas chlorotis,0,
Anas crecca,1,单型种(全);-----------------------------------------------------;2018-11-6 泉州南安江崎村;2023-1-11 阿联酋迪拜
Anas diazi,0,
Anas eatoni,0,
Anas erythrorhyncha,0,
Anas flavirostris,0,
Anas fulvigula,0,
Anas georgica,0,
Anas gibberifrons,0,
Anas gracilis,1,2个亚种(全，仅剩指名亚种);-----------------------------------------------------;2019-1-14 新西兰奥克兰动物园
Anas laysanensis,0,
Anas luzonica,0,
Anas melleri,1,单型种(全);-----------------------------------------------------;2019-8-19 新加坡裕廊飞禽公园
Anas nesiotis,0,
Anas platyrhynchos,1,2个亚种;-----------------------------------------------------;2017-12-4 乌鲁木齐新疆大学(platyrhynchos);2020-10-31 陕西西安湖(platyrhynchos);2021-5-15 宁夏石嘴山星海湖(platyrhynchos);2022-6-9 多伦多Thompson公园(platyrhynchos);2023-1-11 阿联酋迪拜
Anas poecilorhyncha,0,
Anas rubripes,1,单型种(全);-----------------------------------------------------;2022-7-23 多伦多Thompson公园
Anas sparsa,0,
Anas superciliosa,0,
Anas theodori,0,
Anas undulata,0,
Anas wyvilliana,0,
Anas zonorhyncha,1,单型种(全);-----------------------------------------------------;2018-4-17 泉州南安江崎村;2020-10-31 陕西西安湖;2021-5-15 宁夏石嘴山星海湖
Marmaronetta angustirostris,1,单型种(全);-----------------------------------------------------;2023-1-12 阿联酋沙迦野生动物中心
Rhodonessa caryophyllacea,0,
Netta erythrophthalma,0,
Netta peposaca,1,单型种(全);-----------------------------------------------------;2023-1-11 阿联酋迪拜
Netta rufina,1,单型种(全);-----------------------------------------------------;2020-7-29 西藏日喀则贡觉林卡;2021-5-15 宁夏石嘴山星海湖
Aythya affinis,1,单型种(全);-----------------------------------------------------;2022-6-11 多伦多High park;2022-12-24 古巴哈瓦那
Aythya americana,1,单型种(全);-----------------------------------------------------;2022-7-9 多伦多Thompson公园
Aythya australis,0,
Aythya baeri,0,
Aythya collaris,1,单型种(全);-----------------------------------------------------;2022-9-11 多伦多Thompson公园
Aythya ferina,1,单型种(全);-----------------------------------------------------;2020-12-14 厦门园博园
Aythya fuligula,1,单型种(全);-----------------------------------------------------;2019-2-26 泉州湾;2019-12-21 深圳湾
Aythya innotata,0,
Aythya marila,1,2个亚种;-----------------------------------------------------;2020-12-14 厦门园博园(nearctica);2022-6-25 多伦多Thompson公园(nearctica)
Aythya novaeseelandiae,1,单型种(全);-----------------------------------------------------;2019-1-13 新西兰基督城植物园
