062	0201	白斑军舰鸟	Fregata	ariel	Lesser	Frigatebird	LC	二级	C
鲣鸟目	鲣鸟科	SULIFORMES	Sulidae
063	0203	红脚鲣鸟	Sula	sula	Red-footed	Booby	LC	二级	D
褐鲣鸟	
鲣鸟目	鸬鹚科	SULIFORMES	Phalacrocoracidae
064	0210	暗绿背鸬鹚	Phalacrocorax	capillatus	Japanese	Cormorant	LC	-	C
065	0211	普通鸬鹚	Phalacrocorax	carbo	Great	Cormorant	LC	-	A
鹰形目	鹗科	ACCIPITRIFORMES	Pandionidae
066	0212	鹗	Pandion	haliaetus	Osprey	LC	二级	A
鹰形目	鹰科	ACCIPITRIFORMES	Accipitridae
067	0213	黑翅鸢	Elanus	caeruleus	Black-winged	Kite	LC	二级	A
068	0217	凤头蜂鹰	Pernis	ptilorhynchus	Crested	Honey-buzzard	LC	二级	C
069	0219	黑冠鹃隼	Aviceda	leuphotes	Black	Baza	LC	二级	B
070	0225	秃鹫	Aegypius	monachus	Cinereous	Vulture	NT	一级	C
071	0226	蛇雕	Spilornis	cheela	Crested	Serpent	Eagle	LC	二级	A
白肩雕	
栗鸢		
白喉斑秧鸡	
红腿斑秧鸡	
西方秧鸡	
长嘴剑鸻	
072	0229	鹰雕	Nisaetus	nipalensis	Mountain	Hawk-Eagle	NT	二级	B
073	0231	林雕	Ictinaetus	malaiensis	Black	Eagle	LC	二级	A
074	0237	白腹隼雕	Aquila	fasciata	Bonelli's	Eagle	LC	二级	C
075	0238	凤头鹰	Accipiter	trivirgatus	Crested	Goshawk	LC	二级	A
076	0240	赤腹鹰	Accipiter	soloensis	Chinese	Sparrowhawk	LC	二级	A
077	0241	日本松雀鹰	Accipiter	gularis	Japanese	Sparrowhawk	LC	二级	B
078	0242	松雀鹰	Accipiter	virgatus	Besra	LC	二级	A
079	0243	雀鹰	Accipiter	nisus	Eurasian	Sparrowhawk	LC	二级	C
080	0244	苍鹰	Accipiter	gentilis	Northern	Goshawk	LC	二级	C
081	0246	白腹鹞	Circus	spilonotus	Eastern	Marsh	Harrier	LC	二级	B
