
 
GALLIFORMES: Odontophoridae

Grey-backed Storm Petrel	Garrodia nereis	灰背海燕	
White-faced Storm Petrel	Pelagodroma marina	白脸海燕	
Black-bellied Storm Petrel	Fregetta tropica	黑腹舰海燕	
 
PROCELLARIIFORMES: Diomedeidae

Wandering Albatross	Diomedea exulans	漂泊信天翁	Rare
Antipodean Albatross	Diomedea antipodensis	安岛信天翁	
Southern Royal Albatross	Diomedea epomophora	皇信天翁	Rare
Northern Royal Albatross	Diomedea sanfordi	北方皇信天翁	
Sooty Albatross	Phoebetria fusca	乌信天翁	Rare
Light-mantled Albatross	Phoebetria palpebrata	灰背信天翁	Rare
Black-browed Albatross	Thalassarche melanophris	黑眉信天翁	Rare
Campbell Albatross	Thalassarche impavida	坎岛信天翁	Rare
Shy Albatross	Thalassarche cauta	白顶信天翁	
Chatham Albatross	Thalassarche eremita	查岛信天翁	Endemic
Salvin's Albatross	Thalassarche salvini	萨氏信天翁	
Grey-headed Albatross	Thalassarche chrysostoma	灰头信天翁	Rare
Atlantic Yellow-nosed Albatross	Thalassarche chlororhynchos	黄鼻信天翁	Rare
Indian Yellow-nosed Albatross	Thalassarche carteri	印度洋黄鼻信天翁	
Buller's Albatross	Thalassarche bulleri	新西兰信天翁	
 
PROCELLARIIFORMES: Hydrobatidae

Leach's Storm Petrel	Oceanodroma leucorhoa	白腰叉尾海燕	Rare
 
PROCELLARIIFORMES: Procellariidae

Southern Giant Petrel	Macronectes giganteus	巨鹱	Rare
Northern Giant Petrel	Macronectes halli	霍氏巨鹱	
Southern Fulmar	Fulmarus glacialoides	银灰暴风鹱	Rare
Antarctic Petrel	Thalassoica antarctica	南极鹱	Rare
Cape Petrel	Daption capense	花斑鹱	
Blue Petrel	Halobaena caerulea	蓝鹱	Rare
Broad-billed Prion	Pachyptila vittata	阔嘴锯鹱	
Salvin's Prion	Pachyptila salvini	小锯鹱	Rare
Antarctic Prion	Pachyptila desolata	鸽锯鹱	Rare
