
 
APTERYGIFORMES: Apterygidae

Red-kneed Dotterel	Erythrogonys cinctus	红膝麦鸡	Rare
Wrybill	Anarhynchus frontalis	弯嘴鸻	Endemic
Pacific Golden Plover	Pluvialis fulva	金鸻	
American Golden Plover	Pluvialis dominica	美洲金鸻	Rare
Grey Plover	Pluvialis squatarola	灰鸻	
New Zealand Plover	Charadrius obscurus	新西兰鸻	Endemic
Semipalmated Plover	Charadrius semipalmatus	半蹼鸻	Rare
Red-capped Plover	Charadrius ruficapillus	红顶鸻	Rare
Double-banded Plover	Charadrius bicinctus	栗胸鸻	
Lesser Sand Plover	Charadrius mongolus	蒙古沙鸻	
Greater Sand Plover	Charadrius leschenaultii	铁嘴沙鸻	
Oriental Plover	Charadrius veredus	东方鸻	Rare
Shore Dotterel	Thinornis novaeseelandiae	滨鸻	Endemic
Black-fronted Dotterel	Elseyornis melanops	黑额鸻	
 
CHARADRIIFORMES: Rostratulidae

Australian Painted-snipe	Rostratula australis	澳洲彩鹬	Rare
 
CHARADRIIFORMES: Scolopacidae

Upland Sandpiper	Bartramia longicauda	高原鹬	Rare
Bristle-thighed Curlew	Numenius tahitiensis	太平洋杓鹬	Rare
Eurasian Whimbrel	Numenius phaeopus	中杓鹬	
Hudsonian Whimbrel	Numenius hudsonicus	哈德森杓鹬	
Little Curlew	Numenius minutus	小杓鹬	Rare
Far Eastern Curlew	Numenius madagascariensis	大杓鹬	
Bar-tailed Godwit	Limosa lapponica	斑尾塍鹬	
Black-tailed Godwit	Limosa limosa	黑尾塍鹬	
Hudsonian Godwit	Limosa haemastica	棕塍鹬	
Ruddy Turnstone	Arenaria interpres	翻石鹬	
Great Knot	Calidris tenuirostris	大滨鹬	Rare
Red Knot	Calidris canutus	红腹滨鹬	
Ruff	Calidris pugnax	流苏鹬	Rare
Broad-billed Sandpiper	Calidris falcinellus	阔嘴鹬	Rare
Sharp-tailed Sandpiper	Calidris acuminata	尖尾滨鹬	
Stilt Sandpiper	Calidris himantopus	高跷鹬	Rare
Curlew Sandpiper	Calidris ferruginea	弯嘴滨鹬	
Long-toed Stint	Calidris subminuta	长趾滨鹬	Rare
Red-necked Stint	Calidris ruficollis	红颈滨鹬	
Sanderling	Calidris alba	三趾滨鹬	
Dunlin	Calidris alpina	黑腹滨鹬	Rare
Baird's Sandpiper	Calidris bairdii	白腹滨鹬	Rare
Little Stint	Calidris minuta	小滨鹬	Rare
Least Sandpiper	Calidris minutilla	美洲小滨鹬	Rare
White-rumped Sandpiper	Calidris fuscicollis	白腰滨鹬	Rare
Buff-breasted Sandpiper	Calidris subruficollis	黄胸鹬	Rare
Pectoral Sandpiper	Calidris melanotos	斑胸滨鹬	Rare
Western Sandpiper	Calidris mauri	西滨鹬	Rare
Asian Dowitcher	Limnodromus semipalmatus	半蹼鹬	Rare
Chatham Snipe	Coenocorypha pusilla	查岛沙锥	Endemic
North Island Snipe	Coenocorypha barrierensis	北岛沙锥	Endemic
South Island Snipe	Coenocorypha iredalei	南岛沙锥	Endemic
Snares Snipe	Coenocorypha huegeli	斯岛沙锥	Endemic
Subantarctic Snipe	Coenocorypha aucklandica	亚南极沙锥	Endemic
Latham's Snipe	Gallinago hardwickii	澳南沙锥	Rare
Terek Sandpiper	Xenus cinereus	翘嘴鹬	Rare
Wilson's Phalarope	Phalaropus tricolor	细嘴瓣蹼鹬	Rare
Red-necked Phalarope	Phalaropus lobatus	红颈瓣蹼鹬	Rare
Red Phalarope	Phalaropus fulicarius	灰瓣蹼鹬	Rare
Common Sandpiper	Actitis hypoleucos	矶鹬	Rare
Wandering Tattler	Tringa incana	漂鹬	Rare
Grey-tailed Tattler	Tringa brevipes	灰尾漂鹬	
Lesser Yellowlegs	Tringa flavipes	小黄脚鹬	Rare
Marsh Sandpiper	Tringa stagnatilis	泽鹬	Rare
Common Greenshank	Tringa nebularia	青脚鹬	Rare
 
CHARADRIIFORMES: Glareolidae

Oriental Pratincole	Glareola maldivarum	普通燕鸻	Rare
 
CHARADRIIFORMES: Laridae

Brown Noddy	Anous stolidus	白顶玄燕鸥	
Black Noddy	Anous minutus	玄燕鸥	
Grey Noddy	Anous albivitta	灰燕鸥	
White Tern	Gygis alba	白燕鸥	
Silver Gull	Chroicocephalus novaehollandiae	澳洲银鸥	
Black-billed Gull	Chroicocephalus bulleri	新西兰黑嘴鸥	Endemic
Laughing Gull	Leucophaeus atricilla	笑鸥	Rare
Franklin's Gull	Leucophaeus pipixcan	弗氏鸥	Rare
Pacific Gull	Larus pacificus	太平洋鸥	Rare
Kelp Gull	Larus dominicanus	黑背鸥	
Australian Tern	Gelochelidon macrotarsa	澳洲鸥嘴噪鸥	Rare
Caspian Tern	Hydroprogne caspia	红嘴巨鸥	
Greater Crested Tern	Thalasseus bergii	大凤头燕鸥	Rare
Little Tern	Sternula albifrons	白额燕鸥	
Fairy Tern	Sternula nereis	眼斑燕鸥	
Spectacled Tern	Onychoprion lunatus	灰背燕鸥	Rare
Bridled Tern	Onychoprion anaethetus	褐翅燕鸥	Rare
Sooty Tern	Onychoprion fuscatus	乌燕鸥	
White-fronted Tern	Sterna striata	澳洲燕鸥	仅在当地繁育的
Common Tern	Sterna hirundo	普通燕鸥	Rare
Arctic Tern	Sterna paradisaea	北极燕鸥	Rare
Antarctic Tern	Sterna vittata	南极燕鸥	
Black-fronted Tern	Chlidonias albostriatus	黑额燕鸥	Endemic
Whiskered Tern	Chlidonias hybrida	须浮鸥	Rare
White-winged Tern	Chlidonias leucopterus	白翅浮鸥	
 
CHARADRIIFORMES: Stercorariidae

South Polar Skua	Stercorarius maccormicki	灰贼鸥	Rare
Brown Skua	Stercorarius antarcticus	棕贼鸥	
Pomarine Jaeger	Stercorarius pomarinus	中贼鸥	
Parasitic Jaeger	Stercorarius parasiticus	短尾贼鸥	
Long-tailed Jaeger	Stercorarius longicaudus	长尾贼鸥	Rare
 
PHAETHONTIFORMES: Phaethontidae

Red-tailed Tropicbird	Phaethon rubricauda	红尾鹲	
White-tailed Tropicbird	Phaethon lepturus	白尾鹲	Rare
 
SPHENISCIFORMES: Spheniscidae

King Penguin	Aptenodytes patagonicus	王企鹅	Rare
Emperor Penguin	Aptenodytes forsteri	帝企鹅	Rare
Gentoo Penguin	Pygoscelis papua	白眉企鹅	Rare
Adelie Penguin	Pygoscelis adeliae	阿德利企鹅	Rare
Chinstrap Penguin	Pygoscelis antarcticus	纹颊企鹅	Rare
Fiordland Penguin	Eudyptes pachyrhynchus	黄眉企鹅	仅在当地繁育的
Snares Penguin	Eudyptes robustus	斯岛黄眉企鹅	仅在当地繁育的
Erect-crested Penguin	Eudyptes sclateri	翘眉企鹅	
Southern Rockhopper Penguin	Eudyptes chrysocome	凤头黄眉企鹅	
Northern Rockhopper Penguin	Eudyptes moseleyi	北跳岩企鵝	Rare
Royal Penguin	Eudyptes schlegeli	白颊黄眉企鹅	Rare
Macaroni Penguin	Eudyptes chrysolophus	长眉企鹅	Rare
Yellow-eyed Penguin	Megadyptes antipodes	黄眼企鹅	Endemic
Little Penguin	Eudyptula minor	小企鹅	
Magellanic Penguin	Spheniscus magellanicus	南美企鹅	Rare
 
PROCELLARIIFORMES: Oceanitidae

Wilson's Storm Petrel	Oceanites oceanicus	黄蹼洋海燕	
Grey-backed Storm Petrel	Garrodia nereis	灰背海燕	
White-faced Storm Petrel	Pelagodroma marina	白脸海燕	
White-bellied Storm Petrel	Fregetta grallaria	白腹舰海燕	
Black-bellied Storm Petrel	Fregetta tropica	黑腹舰海燕	
New Zealand Storm Petrel	Fregetta maoriana	新西兰舰海燕	Endemic
 
PROCELLARIIFORMES: Diomedeidae

Laysan Albatross	Phoebastria immutabilis	黑背信天翁	Rare
Black-footed Albatross	Phoebastria nigripes	黑脚信天翁	Rare
Wandering Albatross	Diomedea exulans	漂泊信天翁	
Antipodean Albatross	Diomedea antipodensis	安岛信天翁	
Southern Royal Albatross	Diomedea epomophora	皇信天翁	
Northern Royal Albatross	Diomedea sanfordi	北方皇信天翁	
Sooty Albatross	Phoebetria fusca	乌信天翁	Rare
Light-mantled Albatross	Phoebetria palpebrata	灰背信天翁	
Black-browed Albatross	Thalassarche melanophris	黑眉信天翁	
Campbell Albatross	Thalassarche impavida	坎岛信天翁	仅在当地繁育的
Shy Albatross	Thalassarche cauta	白顶信天翁	
Chatham Albatross	Thalassarche eremita	查岛信天翁	仅在当地繁育的
Salvin's Albatross	Thalassarche salvini	萨氏信天翁	
Grey-headed Albatross	Thalassarche chrysostoma	灰头信天翁	
Atlantic Yellow-nosed Albatross	Thalassarche chlororhynchos	黄鼻信天翁	Rare
Indian Yellow-nosed Albatross	Thalassarche carteri	印度洋黄鼻信天翁	
Buller's Albatross	Thalassarche bulleri	新西兰信天翁	
 
PROCELLARIIFORMES: Hydrobatidae

Leach's Storm Petrel	Oceanodroma leucorhoa	白腰叉尾海燕	Rare
 
PROCELLARIIFORMES: Procellariidae

Southern Giant Petrel	Macronectes giganteus	巨鹱	
Northern Giant Petrel	Macronectes halli	霍氏巨鹱	
