0001	Dendrocygna javanica	栗树鸭	Lesser Whistling Duck	LC	二级
0002	Branta bernicla	黑雁	Brant Goose	LC	-
0003	Branta ruficollis	红胸黑雁	Red-breasted Goose	VU	二级
0004	Branta canadensis	加拿大黑雁	Canada Goose	LC	-
0005	Branta leucopsis	白颊黑雁	Barnacle Goose	LC	-
0006	Branta hutchinsii	小美洲黑雁	Cackling Goose	LC	-
0007	Anser indicus	斑头雁	Bar-headed Goose	LC	-
0008	Anser caerulescens	雪雁	Snow Goose	LC	-
0009	Anser anser	灰雁	Greylag Goose	LC	-
0010	Anser cygnoides	鸿雁	Swan Goose	VU	二级
0011	Anser fabalis	豆雁	Taiga Bean Goose	LC	-
0012	Anser serrirostris	短嘴豆雁	Tundra Bean Goose	NR	-
0013	Anser albifrons	白额雁	Greater White-fronted Goose	LC	二级
0014	Anser erythropus	小白额雁	Lesser White-fronted Goose	VU	二级
0015	Cygnus olor	疣鼻天鹅	Mute Swan	LC	二级
0016	Cygnus columbianus	小天鹅	Tundra Swan	LC	二级
0017	Cygnus cygnus	大天鹅	Whooper Swan	LC	二级
0018	Sarkidiornis melanotos	瘤鸭	Knob-billed Duck	LC	-
0019	Tadorna tadorna	翘鼻麻鸭	Common Shelduck	LC	-
0020	Tadorna ferruginea	赤麻鸭	Ruddy Shelduck	LC	-
0021	Tadorna cristata	冠麻鸭	Crested Shelduck	CR	-
0022	Asarcornis scutulata	白翅栖鸭	White-winged Duck	EN	二级
0023	Aix galericulata	鸳鸯	Mandarin Duck	LC	二级
0024	Nettapus coromandelianus	棉凫	Cotton Pygmy Goose	LC	二级
0025	Sibirionetta formosa	花脸鸭	Baikal Teal	LC	二级
0026	Spatula querquedula	白眉鸭	Garganey	LC	-
0027	Spatula clypeata	琵嘴鸭	Northern Shoveler	LC	-
0028	Mareca strepera	赤膀鸭	Gadwall	LC	-
0029	Mareca falcata	罗纹鸭	Falcated Duck	NT	-
0030	Mareca penelope	赤颈鸭	Eurasian Wigeon	LC	-
0031	Mareca americana	绿眉鸭	American Wigeon	LC	-
0032	Anas luzonica	棕颈鸭	Philippine Duck	VU	-
0033	Anas poecilorhyncha	印缅斑嘴鸭	Indian Spot-billed Duck	LC	-
0034	Anas zonorhyncha	斑嘴鸭	Chinese Spot-billed Duck	LC	-
0035	Anas platyrhynchos	绿头鸭	Mallard	LC	-
0036	Anas acuta	针尾鸭	Northern Pintail	LC	-
0037	Anas crecca	绿翅鸭	Eurasian Teal	LC	-
0038	Anas carolinensis	美洲绿翅鸭	Green-winged Teal	LC	-
0039	Marmaronetta angustirostris	云石斑鸭	Marbled Teal	VU	二级
0040	Netta rufina	赤嘴潜鸭	Red-crested Pochard	LC	-
0041	Aythya valisineria	帆背潜鸭	Canvasback	LC	-
0042	Aythya ferina	红头潜鸭	Common Pochard	VU	-
0043	Aythya baeri	青头潜鸭	Baer's Pochard	CR	一级
0044	Aythya nyroca	白眼潜鸭	Ferruginous Pochard	NT	-
0045	Aythya collaris	环颈潜鸭	Ring-necked Duck	LC	-
0046	Aythya fuligula	凤头潜鸭	Tufted Duck	LC	-
0047	Aythya marila	斑背潜鸭	Greater Scaup	LC	-
0048	Aythya affinis	小潜鸭	Lesser Scaup	LC	-
0049	Polysticta stelleri	小绒鸭	Steller's Eider	VU	-
0050	Histrionicus histrionicus	丑鸭	Harlequin Duck	LC	-
0051	Melanitta fusca	丝绒海番鸭	Velvet Scoter	VU	-
0052	Melanitta stejnegeri	斑脸海番鸭	Stejneger's Scoter	LC	-
0053	Melanitta americana	黑海番鸭	Black Scoter	NT	-
0054	Clangula hyemalis	长尾鸭	Long-tailed Duck	VU	-
0055	Bucephala clangula	鹊鸭	Common Goldeneye	LC	-
