棕臀噪鹛	Pterorhinus gularis	1								
黑顶林莺	Sylvia atricapilla	1								
黑冠椋鸟	Sturnia pagodarum	1								
琉球歌鸲	Larvivora komadori	1								
栗尾姬鹟	Ficedula ruficauda	1								
瘤鸭	Sarkidiornis melanotos	0								
冠麻鸭	Tadorna cristata	0								
白翅栖鸭	Asarcornis scutulata	0								
云石斑鸭	Marmaronetta angustirostris	0								
小绒鸭	Polysticta stelleri	0								
灰腹角雉	Tragopan blythii	0								
太平洋潜鸟	Gavia pacifica	0								
黑脚信天翁	Phoebastria nigripes	0								
褐翅叉尾海燕	Oceanodroma tristrami	0								
日本叉尾海燕	Oceanodroma matsudairae	0								
暴雪鹱	Fulmarus glacialis	0								
钩嘴圆尾鹱	Pseudobulweria rostrata	0								
红尾鹲	Phaethon rubricauda	0								
白肩黑鹮	Pseudibis davisoni	0								
大军舰鸟	Fregata minor	0								
白背兀鹫	Gyps bengalensis	0								
细嘴兀鹫	Gyps tenuirostris	0								
渔雕	Haliaeetus humilis	0								
白眼鵟鹰	Butastur teesa	0								
红腿斑秧鸡	Rallina fasciata	0								
赤颈鹤	Antigone antigone	0								
黄颊麦鸡	Vanellus gregarius	0								
白尾麦鸡	Vanellus leucurus	0								
红胸鸻	Charadrius asiaticus	0								
铜翅水雉	Metopidius indicus	0								
黑腰滨鹬	Calidris bairdii	0								
姬滨鹬	Calidris minutilla	0								
西方滨鹬	Calidris mauri	0								
玄燕鸥	Anous minutus	0								
白燕鸥	Gygis alba	0								
笑鸥	Leucophaeus atricilla	0								
崖海鸦	Uria aalge	0								
冠海雀	Synthliboramphus wumizusume	0								
角嘴海雀	Cerorhinca monocerata	0								
中亚鸽	Columba eversmanni	0								
白喉林鸽	Columba vitiensis	0								
黄脚绿鸠	Treron phoenicopterus	0								
乌雕鸮	Bubo coromandus	0								
毛腿渔鸮	Bubo blakistoni	0								
横斑腹小鸮	Athene brama	0								
紫针尾雨燕	Hirundapus celebensis	0								
蓝耳翠鸟	Alcedo meninting	0								
彩虹蜂虎	Merops ornatus	0								
黄纹拟啄木鸟	Psilopogon faiostrictus	0								
蓝腰短尾鹦鹉	Psittinus cyanurus	0								
青头鹦鹉	Psittacula himalayana	0								
褐背伯劳	Lanius vittatus	0								
白眉黄臀鹎	Pycnonotus goiavier	0								
黄额燕	Petrochelidon fluvicola	0								
库页岛蝗莺	Helopsaltes amnicola	0								
巨嘴短翅莺	Locustella major	0								
黑胸楔嘴鹩鹛	Stachyris humei	0								
东歌林莺	Curruca crassirostris	0								
大斑鹡鸰	Motacilla maderaspatensis	0								
红眉金翅雀	Callacanthis burtoni	0								
白顶鹀	Emberiza stewarti	0								
白冠带鹀	Zonotrichia leucophrys	0								
稀树草鹀	Passerculus sandwichensis	0						
