中文名	拉丁名	英文名	记录次数	定点记	随手记
紫水鸡	Porphyrio poliocephalus	Grey-headed Swamphen	7	7	0
棕雨燕	Cypsiurus balasiensis	Asian Palm Swift	1	1	0
褐翅鸦鹃	Centropus sinensis	Greater Coucal	46	43	0
小鸦鹃	Centropus bengalensis	Lesser Coucal	1	1	0
噪鹃	Eudynamys scolopaceus	Western Koel	24	21	1
八声杜鹃	Cacomantis merulinus	Plaintive Cuckoo	13	12	1
大鹰鹃	Hierococcyx sparverioides	Large Hawk-cuckoo	11	11	0
小杜鹃	Cuculus poliocephalus	Lesser Cuckoo	1	1	0
白喉斑秧鸡	Rallina eurizonoides	Slaty-legged Crake	2	2	0
灰胸秧鸡	Lewinia striata	Slaty-breasted Rail	1	1	0
黑水鸡	Gallinula chloropus	Common Moorhen	54	52	0
白骨顶	Fulica atra	Common Coot	43	40	1
白枕鹤	Antigone vipio	White-naped Crane	3	3	0
白鹤	Leucogeranus leucogeranus	Siberian Crane	8	8	0
沙丘鹤	Antigone canadensis	Sandhill Crane	1	1	0
灰鹤	Grus grus	Common Crane	5	5	0
白头鹤	Grus monacha	Hooded Crane	5	5	0
黑颈鹤	Grus nigricollis	Black-necked Crane	1	0	1
大鸨	Otis tarda	Great Bustard	1	1	0
黑喉潜鸟	Gavia arctica	Arctic Loon	1	1	0
丹顶鹤	Grus japonensis	Red-crowned Crane	1	1	0
红喉潜鸟	Gavia stellata	Red-throated Loon	1	1	0
太平洋潜鸟	Gavia pacifica	Pacific Loon	1	1	0
白额鹱	Calonectris leucomelas	Streaked Shearwater	1	1	0
黑鹳	Ciconia nigra	Black Stork	1	1	0
黑脸琵鹭	Platalea minor	Black-faced Spoonbill	37	35	0
东方白鹳	Ciconia boyciana	Oriental Stork	14	14	0
白琵鹭	Platalea leucorodia	Eurasian Spoonbill	29	26	1
彩鹮	Plegadis falcinellus	Glossy Ibis	4	4	0
大麻鳽	Botaurus stellaris	Eurasian Bittern	5	5	0
黄斑苇鳽	Ixobrychus sinensis	Yellow Bittern	6	6	0
栗苇鳽	Ixobrychus cinnamomeus	Cinnamon Bittern	1	1	0
苍鹭	Ardea cinerea	Grey Heron	99	92	1
夜鹭	Nycticorax nycticorax	Black-crowned Night-heron	35	31	1
绿鹭	Butorides striata	Green-backed Heron	1	1	0
池鹭	Ardeola bacchus	Chinese Pond Heron	66	61	1
牛背鹭	Bubulcus coromandus	Cattle Egret	30	29	1
白鹭	Egretta garzetta	Little Egret	150	134	3
草鹭	Ardea purpurea	Purple Heron	3	3	0
大白鹭	Ardea alba	Great Egret	123	106	1
中白鹭	Ardea intermedia	Intermediate Egret	16	15	0
绿背鸬鹚	Phalacrocorax capillatus	Japanese Cormorant	3	3	0
岩鹭	Egretta sacra	Pacific Reef-egret	2	1	1
黄嘴白鹭	Egretta eulophotes	Chinese Egret	3	2	1
海鸬鹚	Phalacrocorax pelagicus	Pelagic Cormorant	1	1	0
卷羽鹈鹕	Pelecanus crispus	Dalmatian Pelican	1	1	0
普通鸬鹚	Phalacrocorax carbo	Great Cormorant	63	58	0
黑翅长脚鹬	Himantopus himantopus	Black-winged Stilt	37	36	0
蛎鹬	Haematopus ostralegus	Eurasian Oystercatcher	2	2	0
反嘴鹬	Recurvirostra avosetta	Pied Avocet	47	42	1
棕三趾鹑	Turnix suscitator	Barred Buttonquail	1	1	0
凤头麦鸡	Vanellus vanellus	Northern Lapwing	7	6	0
灰头麦鸡	Vanellus cinereus	Grey-headed Lapwing	1	1	0
金鸻	Pluvialis fulva	Pacific Golden Plover	23	21	0
长嘴剑鸻	Charadrius placidus	Long-billed Plover	2	2	0
金眶鸻	Charadrius dubius	Little Ringed Plover	20	20	0
白脸鸻	Charadrius dealbatus	White-faced Plover	2	2	0
灰鸻	Pluvialis squatarola	Grey Plover	26	24	0
环颈鸻	Charadrius alexandrinus	Kentish Plover	33	28	0
彩鹬	Rostratula benghalensis	Greater Painted-snipe	1	1	0
蒙古沙鸻	Charadrius mongolus	Lesser Sand Plover	15	13	0
青藏沙鸻	Charadrius atrifrons	Tibetan Sand Plover	4	4	0
铁嘴沙鸻	Charadrius leschenaultii	Greater Sand Plover	21	19	0
