
Dendrocygna javanica	栗树鸭	Lesser Whistling Duck
Cuculus saturatus	中杜鹃	Himalayan Cuckoo
Cuculus optatus	北方中杜鹃	Oriental Cuckoo
Cuculus canorus	大杜鹃	Common Cuckoo

Tyto javanica	仓鸮	Barn Owl
Tyto longimembris	草鸮	Eastern Grass Owl
Phodilus badius	栗鸮	Oriental Bay Owl

Ninox japonica	北鹰鸮	Northern Boobook
Ninox scutulata	鹰鸮	Brown Hawk-Owl
Taenioptynx brodiei	领鸺鹠	Collared Owlet
Aegolius funereus	鬼鸮	Boreal Owl
Athene brama	横斑腹小鸮	Spotted Owlet
Athene noctua	纵纹腹小鸮	Little Owl
Surnia ulula	猛鸮	Northern Hawk-Owl
Glaucidium passerinum	花头鸺鹠	Eurasian Pygmy Owlet
Glaucidium cuculoides	斑头鸺鹠	Asian Barred Owlet
Otus spilocephalus	黄嘴角鸮	Mountain Scops Owl
Otus scops	西红角鸮	Eurasian Scops Owl
Otus brucei	纵纹角鸮	Pallid Scops Owl
Otus sunia	红角鸮	Oriental Scops Owl
Otus elegans	琉球角鸮	Elegant Scops Owl
Otus lettia	领角鸮	Collared Scops Owl
Otus semitorques	北领角鸮	Japanese Scops Owl
Asio otus	长耳鸮	Long-eared Owl
Asio flammeus	短耳鸮	Short-eared Owl
Bubo scandiacus	雪鸮	Snowy Owl
Bubo bubo	雕鸮	Eurasian Eagle-Owl
Bubo nipalensis	林雕鸮	Spot-bellied Eagle-Owl
Bubo coromandus	乌雕鸮	Dusky Eagle-Owl
Bubo blakistoni	毛腿渔鸮	Blakiston's Fish Owl
Ketupa zeylonensis	褐渔鸮	Brown Fish Owl
Ketupa flavipes	黄腿渔鸮	Tawny Fish Owl
Strix leptogrammica	褐林鸮	Brown Wood Owl
Strix nivicolum	灰林鸮	Himalayan Owl
Strix uralensis	长尾林鸮	Ural Owl
Strix davidi	四川林鸮	Sichuan Wood Owl
Strix nebulosa	乌林鸮	Great Grey Owl

Batrachostomus hodgsoni	黑顶蟆口鸱	Hodgson's Frogmouth

Lyncornis macrotis	毛腿耳夜鹰	Great Eared Nightjar
Caprimulgus jotaka	普通夜鹰	Grey Nightjar
Caprimulgus europaeus	欧夜鹰	European Nightjar
Caprimulgus aegyptius	埃及夜鹰	Egyptian Nightjar
Caprimulgus macrurus	长尾夜鹰	Large-tailed Nightjar
Caprimulgus affinis	林夜鹰	Savanna Nightjar

Hemiprocne coronata	凤头树燕	Crested Treeswift

Aerodramus brevirostris	短嘴金丝燕	Himalayan Swiftlet
Aerodramus germani	戈氏金丝燕	Germain's Swiftlet
Hirundapus caudacutus	白喉针尾雨燕	White-throated Needletail
Hirundapus cochinchinensis	灰喉针尾雨燕	Silver-backed Needletail
Hirundapus giganteus	褐背针尾雨燕	Brown-backed Needletail
Hirundapus celebensis	紫针尾雨燕	Purple Needletail
Cypsiurus balasiensis	棕雨燕	Asian Palm Swift
Tachymarptis melba	高山雨燕	Alpine Swift
Apus apus	普通雨燕	Common Swift
Apus pacificus	白腰雨燕	Pacific Swift
Apus salimalii	青藏白腰雨燕	Salim Ali's Swift
Apus cooki	印支白腰雨燕	Cook's Swift
Apus acuticauda	暗背雨燕	Dark-rumped Swift
Apus nipalensis	小白腰雨燕	House Swift

Harpactes oreskios	橙胸咬鹃	Orange-breasted Trogon
Harpactes erythrocephalus	红头咬鹃	Red-headed Trogon
Harpactes wardi	红腹咬鹃	Ward's Trogon

Coracias affinis	棕胸佛法僧	Indochinese Roller
Coracias garrulus	蓝胸佛法僧	European Roller
Eurystomus orientalis	三宝鸟	Oriental Dollarbird

Pelargopsis capensis	鹳嘴翡翠	Stork-billed Kingfisher
Halcyon coromanda	赤翡翠	Ruddy Kingfisher
Halcyon smyrnensis	白胸翡翠	White-throated Kingfisher
Halcyon pileata	蓝翡翠	Black-capped Kingfisher
Todiramphus chloris	白领翡翠	Collared Kingfisher
Alcedo meninting	蓝耳翠鸟	Blue-eared Kingfisher
Alcedo atthis	普通翠鸟	Common Kingfisher
Alcedo hercules	斑头大翠鸟	Blyth's Kingfisher
Ceyx erithaca	三趾翠鸟	Oriental Dwarf Kingfisher
Megaceryle lugubris	冠鱼狗	Crested Kingfisher
Ceryle rudis	斑鱼狗	Pied Kingfisher

Nyctyornis athertoni	蓝须夜蜂虎	Blue-bearded Bee-eater
Merops orientalis	绿喉蜂虎	Asian Green Bee-eater
Merops persicus	蓝颊蜂虎	Blue-cheeked Bee-eater
Merops philippinus	栗喉蜂虎	Blue-tailed Bee-eater
Merops ornatus	彩虹蜂虎	Rainbow Bee-eater
Merops viridis	蓝喉蜂虎	Blue-throated Bee-eater
Merops leschenaulti	栗头蜂虎	Chestnut-headed Bee-eater
Merops apiaster	黄喉蜂虎	European Bee-eater

Upupa epops	戴胜	Common Hoopoe

Buceros bicornis	双角犀鸟	Great Hornbill
Anthracoceros albirostris	冠斑犀鸟	Oriental Pied Hornbill
Anorrhinus austeni	白喉犀鸟	White-throated Brown Hornbill
Aceros nipalensis	棕颈犀鸟	Rufous-necked Hornbill
Rhyticeros undulatus	花冠皱盔犀鸟	Wreathed Hornbill

Psilopogon virens	大拟啄木鸟	Great Barbet
Psilopogon lineatus	斑头绿拟啄木鸟	Lineated Barbet
Psilopogon faiostrictus	黄纹拟啄木鸟	Green-eared Barbet
Psilopogon franklinii	金喉拟啄木鸟	Golden-throated Barbet
Psilopogon faber	黑眉拟啄木鸟	Chinese Barbet
Psilopogon nuchalis	台湾拟啄木鸟	Taiwan Barbet
Psilopogon asiaticus	蓝喉拟啄木鸟	Blue-throated Barbet
Psilopogon duvaucelii	蓝耳拟啄木鸟	Blue-eared Barbet
Psilopogon haemacephalus	赤胸拟啄木鸟	Coppersmith Barbet

Indicator xanthonotus	黄腰响蜜䴕	Yellow-rumped Honeyguide

Jynx torquilla	蚁䴕	Eurasian Wryneck
Picumnus innominatus	斑姬啄木鸟	Speckled Piculet
Sasia ochracea	白眉棕啄木鸟	White-browed Piculet
Yungipicus canicapillus	星头啄木鸟	Grey-capped Pygmy Woodpecker
Yungipicus kizuki	小星头啄木鸟	Japanese Pygmy Woodpecker
Picoides tridactylus	三趾啄木鸟	Eurasian Three-toed Woodpecker
Dendrocoptes auriceps	褐额啄木鸟	Brown-fronted Woodpecker
Dryobates cathpharius	赤胸啄木鸟	Crimson-breasted Woodpecker
Dryobates minor	小斑啄木鸟	Lesser Spotted Woodpecker
Dendrocopos hyperythrus	棕腹啄木鸟	Rufous-bellied Woodpecker
Dendrocopos macei	茶胸斑啄木鸟	Fulvous-breasted Woodpecker
Dendrocopos atratus	纹胸啄木鸟	Stripe-breasted Woodpecker
Dendrocopos darjellensis	黄颈啄木鸟	Darjeeling Woodpecker
Dendrocopos leucopterus	白翅啄木鸟	White-winged Woodpecker
Dendrocopos major	大斑啄木鸟	Great Spotted Woodpecker
Dendrocopos leucotos	白背啄木鸟	White-backed Woodpecker
Dryocopus javensis	白腹黑啄木鸟	White-bellied Woodpecker
Dryocopus martius	黑啄木鸟	Black Woodpecker
Chrysophlegma flavinucha	大黄冠啄木鸟	Greater Yellownape
Picus chlorolophus	黄冠啄木鸟	Lesser Yellownape
Picus vittatus	花腹绿啄木鸟	Laced Woodpecker
Picus xanthopygaeus	鳞喉绿啄木鸟	Streak-throated Woodpecker
Picus squamatus	鳞腹绿啄木鸟	Scaly-bellied Woodpecker
Picus rabieri	红颈绿啄木鸟	Red-collared Woodpecker
Picus canus	灰头绿啄木鸟	Grey-headed Woodpecker
Dinopium javanense	金背三趾啄木鸟	Common Flameback
Chrysocolaptes guttacristatus	大金背啄木鸟	Greater Flameback
Gecinulus grantia	竹啄木鸟	Pale-headed Woodpecker
Blythipicus pyrrhotis	黄嘴栗啄木鸟	Bay Woodpecker
Micropternus brachyurus	栗啄木鸟	Rufous Woodpecker
Mulleripicus pulverulentus	大灰啄木鸟	Great Slaty Woodpecker

Microhierax caerulescens	红腿小隼	Collared Falconet
Microhierax melanoleucos	白腿小隼	Pied Falconet
Falco naumanni	黄爪隼	Lesser Kestrel
Falco tinnunculus	红隼	Common Kestrel
Falco vespertinus	西红脚隼	Red-footed Falcon
Falco amurensis	红脚隼	Amur Falcon
Falco columbarius	灰背隼	Merlin
Falco subbuteo	燕隼	Eurasian Hobby
Falco severus	猛隼	Oriental Hobby
Falco cherrug	猎隼	Saker Falcon
Falco rusticolus	矛隼	Gyrfalcon
Falco peregrinus	游隼	Peregrine Falcon

Psittinus cyanurus	蓝腰短尾鹦鹉	Blue-rumped Parrot
Psittacula finschii	灰头鹦鹉	Grey-headed Parakeet
Psittacula himalayana	青头鹦鹉	Slaty-headed Parakeet
Psittacula roseata	花头鹦鹉	Blossom-headed Parakeet
Psittacula alexandri	绯胸鹦鹉	Red-breasted Parakeet
Psittacula derbiana	大紫胸鹦鹉	Derbyan Parakeet
Psittacula eupatria	亚历山大鹦鹉	Alexandrine Parakeet
Psittacula krameri	红领绿鹦鹉	Rose-ringed Parakeet
Loriculus vernalis	短尾鹦鹉	Vernal Hanging Parrot

Psarisomus dalhousiae	长尾阔嘴鸟	Long-tailed Broadbill
Serilophus lunatus	银胸丝冠鸟	Silver-breasted Broadbill

Hydrornis phayrei	双辫八色鸫	Eared Pitta
Hydrornis nipalensis	蓝枕八色鸫	Blue-naped Pitta
Hydrornis soror	蓝背八色鸫	Blue-rumped Pitta
Hydrornis oatesi	栗头八色鸫	Rusty-naped Pitta
Hydrornis cyaneus	蓝八色鸫	Blue Pitta
Pitta sordida	绿胸八色鸫	Hooded Pitta
Pitta nympha	仙八色鸫	Fairy Pitta
Pitta moluccensis	蓝翅八色鸫	Blue-winged Pitta

Hemipus picatus	褐背鹟鵙	Bar-winged Flycatcher-shrike
Tephrodornis virgatus	钩嘴林鵙	Large Woodshrike

Artamus fuscus	灰燕鵙	Ashy Woodswallow

Aegithina tiphia	黑翅雀鹎	Common Iora
Aegithina lafresnayei	大绿雀鹎	Great Iora

Pericrocotus solaris	灰喉山椒鸟	Grey-chinned Minivet
Pericrocotus brevirostris	短嘴山椒鸟	Short-billed Minivet
Pericrocotus ethologus	长尾山椒鸟	Long-tailed Minivet
Pericrocotus speciosus	赤红山椒鸟	Scarlet Minivet
Pericrocotus divaricatus	灰山椒鸟	Ashy Minivet
Pericrocotus tegimae	琉球山椒鸟	Ryukyu Minivet
Pericrocotus cantonensis	小灰山椒鸟	Swinhoe's Minivet
Pericrocotus roseus	粉红山椒鸟	Rosy Minivet
Coracina macei	大鹃鵙	Large Cuckooshrike
Lalage nigra	黑鸣鹃鵙	Pied Triller
Lalage melaschistos	暗灰鹃鵙	Black-winged Cuckooshrike

Lanius tigrinus	虎纹伯劳	Tiger Shrike
Lanius bucephalus	牛头伯劳	Bull-headed Shrike
Lanius cristatus	红尾伯劳	Brown Shrike
Lanius collurio	红背伯劳	Red-backed Shrike
Lanius isabellinus	荒漠伯劳	Isabelline Shrike
Lanius phoenicuroides	棕尾伯劳	Rufous-tailed Shrike
Lanius collurioides	栗背伯劳	Burmese Shrike
Lanius vittatus	褐背伯劳	Bay-backed Shrike
Lanius schach	棕背伯劳	Long-tailed Shrike
Lanius tephronotus	灰背伯劳	Grey-backed Shrike
Lanius minor	黑额伯劳	Lesser Grey Shrike
Lanius borealis	灰伯劳	Northern Shrike
Lanius excubitor	西方灰伯劳	Great Grey Shrike
Lanius giganteus	青藏楔尾伯劳	Giant Grey Shrike
Lanius sphenocercus	楔尾伯劳	Chinese Grey Shrike

Pteruthius xanthochlorus	淡绿鵙鹛	Green Shrike Babbler
Pteruthius melanotis	栗喉鵙鹛	Black-eared Shrike Babbler
Pteruthius rufiventer	棕腹鵙鹛	Black-headed Shrike Babbler
Pteruthius aeralatus	红翅鵙鹛	Blyth's Shrike Babbler
Pteruthius intermedius	栗额鵙鹛	Clicking Shrike Babbler
Erpornis zantholeuca	白腹凤鹛	White-bellied Erpornis

Oriolus traillii	朱鹂	Maroon Oriole
Oriolus mellianus	鹊色鹂	Silver Oriole
Oriolus xanthornus	黑头黄鹂	Black-hooded Oriole
Oriolus kundoo	印度金黄鹂	Indian Golden Oriole
Oriolus oriolus	金黄鹂	Eurasian Golden Oriole
Oriolus chinensis	黑枕黄鹂	Black-naped Oriole
Oriolus tenuirostris	细嘴黄鹂	Slender-billed Oriole

Dicrurus aeneus	古铜色卷尾	Bronzed Drongo
Dicrurus remifer	小盘尾	Lesser Racket-tailed Drongo
Dicrurus annectens	鸦嘴卷尾	Crow-billed Drongo
Dicrurus paradiseus	大盘尾	Greater Racket-tailed Drongo
Dicrurus hottentottus	发冠卷尾	Hair-crested Drongo
Dicrurus leucophaeus	灰卷尾	Ashy Drongo
Dicrurus macrocercus	黑卷尾	Black Drongo

Rhipidura albicollis	白喉扇尾鹟	White-throated Fantail
Rhipidura aureola	白眉扇尾鹟	White-browed Fantail
Rhipidura nigritorquis	菲律宾斑扇尾鹟	Philippine Pied Fantail

Hypothymis azurea	黑枕王鹟	Black-naped Monarch
Terpsiphone paradisi	印缅寿带	Indian Paradise Flycatcher
Terpsiphone affinis	中南寿带	Blyth's Paradise Flycatcher
Terpsiphone incei	寿带	Amur Paradise Flycatcher
Terpsiphone atrocaudata	紫寿带	Japanese Paradise-flycatcher

Perisoreus infaustus	北噪鸦	Siberian Jay
Perisoreus internigrans	黑头噪鸦	Sichuan Jay
Garrulus glandarius	松鸦	Eurasian Jay
Cyanopica cyanus	灰喜鹊	Azure-winged Magpie
Urocissa caerulea	台湾蓝鹊	Taiwan Blue Magpie
Urocissa flavirostris	黄嘴蓝鹊	Yellow-billed Blue Magpie
Urocissa erythroryncha	红嘴蓝鹊	Red-billed Blue Magpie
Urocissa whiteheadi	白翅蓝鹊	White-winged Magpie
Cissa chinensis	蓝绿鹊	Common Green Magpie
Cissa hypoleuca	印支绿鹊	Indochinese Green Magpie
Dendrocitta vagabunda	棕腹树鹊	Rufous Treepie
Dendrocitta formosae	灰树鹊	Grey Treepie
Dendrocitta frontalis	黑额树鹊	Collared Treepie
Temnurus temnurus	塔尾树鹊	Ratchet-tailed Treepie
Pica pica	欧亚喜鹊	Eurasian Magpie
Pica bottanensis	青藏喜鹊	Black-rumped Magpie
Pica serica	喜鹊	Oriental Magpie
Podoces hendersoni	黑尾地鸦	Mongolian Ground Jay
Podoces biddulphi	白尾地鸦	Xinjiang Ground Jay
Nucifraga caryocatactes	星鸦	Spotted Nutcracker
Nucifraga multipunctata	大斑星鸦	Large-spotted Nutcracker
Pyrrhocorax pyrrhocorax	红嘴山鸦	Red-billed Chough
Pyrrhocorax graculus	黄嘴山鸦	Alpine Chough
Coloeus monedula	寒鸦	Eurasian Jackdaw
Coloeus dauuricus	达乌里寒鸦	Daurian Jackdaw
Corvus splendens	家鸦	House Crow
Corvus frugilegus	秃鼻乌鸦	Rook
Corvus corone	小嘴乌鸦	Carrion Crow
Corvus cornix	冠小嘴乌鸦	Hooded Crow
Corvus torquatus	白颈鸦	Collared Crow
Corvus macrorhynchos	大嘴乌鸦	Large-billed Crow
Corvus levaillantii	丛林鸦	Jungle Crow
Corvus corax	渡鸦	Common Raven

Bombycilla garrulus	太平鸟	Bohemian Waxwing
Bombycilla japonica	小太平鸟	Japanese Waxwing

Chelidorhynx hypoxanthus	黄腹扇尾鹟	Yellow-bellied Fantail
Culicicapa ceylonensis	方尾鹟	Grey-headed Canary Flycatcher

Cephalopyrus flammiceps	火冠雀	Fire-capped Tit
Sylviparus modestus	黄眉林雀	Yellow-browed Tit
Melanochlora sultanea	冕雀	Sultan Tit
Periparus rufonuchalis	棕枕山雀	Rufous-naped Tit
Periparus rubidiventris	黑冠山雀	Rufous-vented Tit
Periparus ater	煤山雀	Coal Tit
Pardaliparus venustulus	黄腹山雀	Yellow-bellied Tit
Lophophanes dichrous	褐冠山雀	Grey-crested Tit
Sittiparus varius	杂色山雀	Varied Tit
Sittiparus castaneoventris	台湾杂色山雀	Chestnut-bellied Tit
Poecile superciliosus	白眉山雀	White-browed Tit
Poecile davidi	红腹山雀	Rusty-breasted Tit
Poecile palustris	沼泽山雀	Marsh Tit
Poecile hypermelaenus	黑喉山雀	Black-bibbed Tit
Poecile montanus	褐头山雀	Willow Tit
Poecile weigoldicus	川褐头山雀	Sichuan Tit
Cyanistes cyanus	灰蓝山雀	Azure Tit
Pseudopodoces humilis	地山雀	Ground Tit
Parus major	大山雀	Great Tit
Parus minor	远东山雀	Japanese Tit
Parus cinereus	苍背山雀	Cinereous Tit
Parus monticolus	绿背山雀	Green-backed Tit
Machlolophus holsti	台湾黄山雀	Yellow Tit
Machlolophus xanthogenys	眼纹黄山雀	Himalayan Black-lored Tit
Machlolophus spilonotus	黄颊山雀	Yellow-cheeked Tit

Remiz coronatus	白冠攀雀	White-crowned Penduline Tit
Remiz consobrinus	中华攀雀	Chinese Penduline Tit

Panurus biarmicus	文须雀	Bearded Reedling

Mirafra javanica	歌百灵	Horsfield's Bush Lark
Alauda leucoptera	白翅百灵	White-winged Lark
Alauda gulgula	小云雀	Oriental Skylark
Alauda arvensis	云雀	Eurasian Skylark
Alauda japonica	日本云雀	Japanese Skylark
Galerida cristata	凤头百灵	Crested Lark
Eremophila alpestris	角百灵	Horned Lark
Calandrella acutirostris	细嘴短趾百灵	Hume's Short-toed Lark
Calandrella dukhunensis	蒙古短趾百灵	Mongolian Short-toed Lark
Calandrella brachydactyla	大短趾百灵	Greater Short-toed Lark
Melanocorypha bimaculata	二斑百灵	Bimaculated Lark
Melanocorypha calandra	草原百灵	Calandra Lark
Melanocorypha yeltoniensis	黑百灵	Black Lark
Melanocorypha mongolica	蒙古百灵	Mongolian Lark
Melanocorypha maxima	长嘴百灵	Tibetan Lark
Alaudala cheleensis	亚洲短趾百灵	Asian Short-toed Lark
Alaudala heinei	中亚短趾百灵	Turkestan Short-toed Lark

Alophoixus flaveolus	黄腹冠鹎	White-throated Bulbul
Alophoixus pallidus	白喉冠鹎	Puff-throated Bulbul
Alcurus striatus	纵纹绿鹎	Striated Bulbul
Iole propinqua	灰眼短脚鹎	Grey-eyed Bulbul
Hemixos flavala	灰短脚鹎	Ashy Bulbul
Hemixos castanonotus	栗背短脚鹎	Chestnut Bulbul
Ixos mcclellandii	绿翅短脚鹎	Mountain Bulbul
Hypsipetes amaurotis	栗耳短脚鹎	Brown-eared Bulbul
Hypsipetes leucocephalus	黑短脚鹎	Black Bulbul
Brachypodius melanocephalos	黑头鹎	Black-headed Bulbul
Rubigula flaviventris	黑冠黄鹎	Black-crested Bulbul
Spizixos canifrons	凤头雀嘴鹎	Crested Finchbill
Spizixos semitorques	领雀嘴鹎	Collared Finchbill
Pycnonotus finlaysoni	纹喉鹎	Stripe-throated Bulbul
Pycnonotus flavescens	黄绿鹎	Flavescent Bulbul
Pycnonotus xanthorrhous	黄臀鹎	Brown-breasted Bulbul
Pycnonotus sinensis	白头鹎	Light-vented Bulbul
Pycnonotus taivanus	台湾鹎	Styan's Bulbul
Pycnonotus jocosus	红耳鹎	Red-whiskered Bulbul
Pycnonotus goiavier	白眉黄臀鹎	Yellow-vented Bulbul
Pycnonotus cafer	黑喉红臀鹎	Red-vented Bulbul
Pycnonotus aurigaster	白喉红臀鹎	Sooty-headed Bulbul
Pycnonotus leucogenys	白颊鹎	Himalayan Bulbul

Riparia riparia	崖沙燕	Sand Martin
Riparia diluta	淡色沙燕	Pale Martin
Riparia chinensis	褐喉沙燕	Grey-throated Martin
Ptyonoprogne rupestris	岩燕	Eurasian Crag Martin
Ptyonoprogne concolor	纯色岩燕	Dusky Crag Martin
Hirundo tahitica	洋斑燕	Pacific Swallow
Hirundo smithii	线尾燕	Wire-tailed Swallow
Hirundo rustica	家燕	Barn Swallow
Delichon urbicum	西方毛脚燕	Common House Martin
Delichon lagopodum	白腹毛脚燕	Siberian House Martin
Delichon dasypus	烟腹毛脚燕	Asian House Martin
Delichon nipalense	黑喉毛脚燕	Nepal House Martin
Cecropis daurica	金腰燕	Red-rumped Swallow
Cecropis striolata	斑腰燕	Striated Swallow
Petrochelidon fluvicola	黄额燕	Streak-throated Swallow

Pnoepyga albiventer	鳞胸鹪鹛	Scaly-breasted Cupwing
Pnoepyga mutica	中华鹪鹛	Chinese Cupwing
Pnoepyga formosana	台湾鹪鹛	Taiwan Cupwing
Pnoepyga immaculata	尼泊尔鹪鹛	Nepal Cupwing
Pnoepyga pusilla	小鳞胸鹪鹛	Pygmy Cupwing

Abroscopus superciliaris	黄腹鹟莺	Yellow-bellied Warbler
Abroscopus albogularis	棕脸鹟莺	Rufous-faced Warbler
Abroscopus schisticeps	黑脸鹟莺	Black-faced Warbler
Phyllergates cucullatus	金头缝叶莺	Mountain Tailorbird
Tickellia hodgsoni	宽嘴鹟莺	Broad-billed Warbler
Horornis diphone	日本树莺	Japanese Bush Warbler
Horornis canturians	远东树莺	Manchurian Bush Warbler
Horornis fortipes	强脚树莺	Brownish-flanked Bush Warbler
Horornis brunnescens	休氏树莺	Hume's Bush Warbler
Horornis acanthizoides	黄腹树莺	Yellowish-bellied Bush Warbler
Horornis flavolivaceus	异色树莺	Aberrant Bush Warbler
Tesia cyaniventer	灰腹地莺	Grey-bellied Tesia
Tesia olivea	金冠地莺	Slaty-bellied Tesia
Cettia cetti	宽尾树莺	Cetti's Warbler
Cettia major	大树莺	Chestnut-crowned Bush Warbler
Cettia brunnifrons	棕顶树莺	Grey-sided Bush Warbler
Cettia castaneocoronata	栗头地莺	Chestnut-headed Tesia
Urosphena squameiceps	鳞头树莺	Asian Stubtail
Urosphena pallidipes	淡脚树莺	Pale-footed Bush Warbler

Aegithalos caudatus	北长尾山雀	Long-tailed Tit
Aegithalos glaucogularis	银喉长尾山雀	Silver-throated Bushtit
Aegithalos concinnus	红头长尾山雀	Black-throated Bushtit
Aegithalos iouschistos	棕额长尾山雀	Rufous-fronted Bushtit
Aegithalos bonvaloti	黑眉长尾山雀	Black-browed Bushtit
Aegithalos fuliginosus	银脸长尾山雀	Sooty Bushtit
Leptopoecile sophiae	花彩雀莺	White-browed Tit Warbler
Leptopoecile elegans	凤头雀莺	Crested Tit Warbler

Phylloscopus sibilatrix	林柳莺	Wood Warbler
Phylloscopus pulcher	橙斑翅柳莺	Buff-barred Warbler
Phylloscopus maculipennis	灰喉柳莺	Ashy-throated Warbler
Phylloscopus humei	淡眉柳莺	Hume's Leaf Warbler
Phylloscopus inornatus	黄眉柳莺	Yellow-browed Warbler
Phylloscopus yunnanensis	云南柳莺	Chinese Leaf Warbler
Phylloscopus chloronotus	淡黄腰柳莺	Lemon-rumped Warbler
Phylloscopus forresti	四川柳莺	Sichuan Leaf Warbler
Phylloscopus kansuensis	甘肃柳莺	Gansu Leaf Warbler
Phylloscopus proregulus	黄腰柳莺	Pallas's Leaf Warbler
Phylloscopus armandii	棕眉柳莺	Yellow-streaked Warbler
Phylloscopus schwarzi	巨嘴柳莺	Radde's Warbler
Phylloscopus griseolus	灰柳莺	Sulphur-bellied Warbler
Phylloscopus affinis	黄腹柳莺	Tickell's Leaf Warbler
Phylloscopus occisinensis	华西柳莺	Alpine Leaf Warbler
Phylloscopus fuligiventer	烟柳莺	Smoky Warbler
Phylloscopus fuscatus	褐柳莺	Dusky Warbler
Phylloscopus subaffinis	棕腹柳莺	Buff-throated Warbler
Phylloscopus trochilus	欧柳莺	Willow Warbler
Phylloscopus sindianus	东方叽喳柳莺	Mountain Chiffchaff
Phylloscopus collybita	叽喳柳莺	Common Chiffchaff
Phylloscopus coronatus	冕柳莺	Eastern Crowned Warbler
Phylloscopus ijimae	饭岛柳莺	Ijima's Leaf Warbler
Phylloscopus intermedius	白眶鹟莺	White-spectacled Warbler
Phylloscopus poliogenys	灰脸鹟莺	Grey-cheeked Warbler
Phylloscopus burkii	金眶鹟莺	Green-crowned Warbler
Phylloscopus tephrocephalus	灰冠鹟莺	Grey-crowned Warbler
Phylloscopus whistleri	韦氏鹟莺	Whistler's Warbler
Phylloscopus valentini	比氏鹟莺	Bianchi's Warbler
Phylloscopus soror	淡尾鹟莺	Plain-tailed Warbler
Phylloscopus omeiensis	峨眉鹟莺	Martens's Warbler
Phylloscopus plumbeitarsus	双斑绿柳莺	Two-barred Warbler
Phylloscopus trochiloides	暗绿柳莺	Greenish Warbler
Phylloscopus emeiensis	峨眉柳莺	Emei Leaf Warbler
Phylloscopus magnirostris	乌嘴柳莺	Large-billed Leaf Warbler
Phylloscopus borealoides	库页岛柳莺	Sakhalin Leaf Warbler
Phylloscopus tenellipes	淡脚柳莺	Pale-legged Warbler
Phylloscopus xanthodryas	日本柳莺	Japanese Leaf Warbler
Phylloscopus examinandus	堪察加柳莺	Kamchatka Leaf Warbler
Phylloscopus borealis	极北柳莺	Arctic Warbler
Phylloscopus castaniceps	栗头鹟莺	Chestnut-crowned Warbler
Phylloscopus calciatilis	灰岩柳莺	Limestone Leaf Warbler
Phylloscopus ricketti	黑眉柳莺	Sulphur-breasted Warbler
Phylloscopus cantator	黄胸柳莺	Yellow-vented Warbler
Phylloscopus reguloides	西南冠纹柳莺	Blyth's Leaf Warbler
Phylloscopus claudiae	冠纹柳莺	Claudia's Leaf Warbler
Phylloscopus goodsoni	华南冠纹柳莺	Hartert's Leaf Warbler
Phylloscopus ogilviegranti	白斑尾柳莺	Kloss's Leaf Warbler
Phylloscopus hainanus	海南柳莺	Hainan Leaf Warbler
Phylloscopus intensior	云南白斑尾柳莺	Davison's Leaf Warbler
Phylloscopus xanthoschistos	灰头柳莺	Grey-hooded Warbler

Acrocephalus arundinaceus	大苇莺	Great Reed Warbler
Acrocephalus orientalis	东方大苇莺	Oriental Reed Warbler
Acrocephalus stentoreus	噪大苇莺	Clamorous Reed Warbler
Acrocephalus bistrigiceps	黑眉苇莺	Black-browed Reed Warbler
Acrocephalus melanopogon	须苇莺	Moustached Warbler
Acrocephalus schoenobaenus	水蒲苇莺	Sedge Warbler
Acrocephalus sorghophilus	细纹苇莺	Streaked Reed Warbler
Acrocephalus concinens	钝翅苇莺	Blunt-winged Warbler
Acrocephalus tangorum	远东苇莺	Manchurian Reed Warbler
Acrocephalus agricola	稻田苇莺	Paddyfield Warbler
Acrocephalus dumetorum	布氏苇莺	Blyth's Reed Warbler
Acrocephalus scirpaceus	芦苇莺	Eurasian Reed Warbler
Arundinax aedon	厚嘴苇莺	Thick-billed Warbler
Iduna caligata	靴篱莺	Booted Warbler
Iduna rama	赛氏篱莺	Sykes's Warbler
Iduna pallida	草绿篱莺	Eastern Olivaceous Warbler

Helopsaltes amnicola	库页岛蝗莺	Sakhalin Grasshopper Warbler
Helopsaltes fasciolatus	苍眉蝗莺	Gray's Grasshopper Warbler
Helopsaltes pryeri	斑背大尾莺	Marsh Grassbird
Helopsaltes certhiola	小蝗莺	Pallas's Grasshopper Warbler
Helopsaltes pleskei	东亚蝗莺	Styan's Grasshopper Warbler
Helopsaltes ochotensis	北蝗莺	Middendorff's Grasshopper Warbler
Locustella lanceolata	矛斑蝗莺	Lanceolated Warbler
Locustella luteoventris	棕褐短翅莺	Brown Bush Warbler
Locustella major	巨嘴短翅莺	Long-billed Bush Warbler
Locustella naevia	黑斑蝗莺	Common Grasshopper Warbler
Locustella tacsanowskia	中华短翅莺	Chinese Bush Warbler
Locustella luscinioides	鸲蝗莺	Savi's Warbler
Locustella davidi	北短翅莺	Baikal Bush Warbler
Locustella thoracica	斑胸短翅莺	Spotted Bush Warbler
Locustella alishanensis	台湾短翅莺	Taiwan Bush Warbler
Locustella mandelli	高山短翅莺	Russet Bush Warbler
Locustella chengi	四川短翅莺	Sichuan Bush Warbler
Megalurus palustris	沼泽大尾莺	Striated Grassbird

Cisticola juncidis	棕扇尾莺	Zitting Cisticola
