68	灰雁	Anser anser	Greylag Goose	雁形目	鸭科
69	白额雁	Anser albifrons	Greater White-fronted Goose	雁形目	鸭科
70	小白额雁	Anser erythropus	Lesser White-fronted Goose	雁形目	鸭科
71	斑头雁	Anser indicus	Bar-headed Goose	雁形目	鸭科
72	雪雁	Chen caerulescens	Snow Goose	雁形目	鸭科
73	小美洲黑雁	Branta hutchinsii	Cackling Goose	雁形目	鸭科
74	黑雁	Branta bernicla	Brant Goose	雁形目	鸭科
75	白颊黑雁	Branta leucopsis	Barnacle Goose	雁形目	鸭科
76	红胸黑雁	Branta ruficollis	Red-breasted Goose	雁形目	鸭科
77	疣鼻天鹅	Cygnus olor	Mute Swan	雁形目	鸭科
78	小天鹅	Cygnus columbianus	Tundra Swan	雁形目	鸭科
79	大天鹅	Cygnus cygnus	Whooper Swan	雁形目	鸭科
80	瘤鸭	Sarkidiornis melanotos	Knob-billed Duck	雁形目	鸭科
81	翘鼻麻鸭	Tadorna tadorna	Common Shelduck	雁形目	鸭科
82	赤麻鸭	Tadorna ferruginea	Ruddy Shelduck	雁形目	鸭科
83	冠麻鸭	Tadorna cristata	Crested Shelduck	雁形目	鸭科
84	鸳鸯	Aix galericulata	Mandarin Duck	雁形目	鸭科
85	棉凫	Nettapus coromandelianus	Cotton Pygmy Goose	雁形目	鸭科
86	赤膀鸭	Anas strepera	Gadwall	雁形目	鸭科
87	罗纹鸭	Anas falcata	Falcated Duck	雁形目	鸭科
88	赤颈鸭	Anas penelope	Eurasian Wigeon	雁形目	鸭科
89	绿眉鸭	Anas americana	American Wigeon	雁形目	鸭科
90	绿头鸭	Anas platyrhynchos	Mallard	雁形目	鸭科
91	棕颈鸭	Anas luzonica	Philippine Duck	雁形目	鸭科
92	印缅斑嘴鸭	Anas poecilorhyncha	Indian Spot-billed Duck	雁形目	鸭科
93	斑嘴鸭	Anas zonorhyncha	Chinese Spot-billed Duck	雁形目	鸭科
782	黑短脚鹎	Hypsipetes leucocephalus	Black Bulbul	雀形目	鹎科
94	琵嘴鸭	Anas clypeata	Northern Shoveler	雁形目	鸭科
95	针尾鸭	Anas acuta	Northern Pintail	雁形目	鸭科
96	白眉鸭	Anas querquedula	Garganey	雁形目	鸭科
97	花脸鸭	Anas formosa	Baikal Teal	雁形目	鸭科
98	绿翅鸭	Anas crecca	Eurasian Teal	雁形目	鸭科
99	美洲绿翅鸭	Anas carolinensis	Green-winged Teal	雁形目	鸭科
100	云石斑鸭	Marmaronetta angustirostris	Marbled Teal	雁形目	鸭科
101	赤嘴潜鸭	Netta rufina	Red-crested Pochard	雁形目	鸭科
