黑头鹀	Emberiza melanocephala	57		岩鹭
白眉歌鸫	Turdus iliacus	56		1-22 石河子西公园
斑胸滨鹬	Calidris melanotos	55		
红梅花雀	Amandava amandava	55		
极北朱顶雀	Acanthis hornemanni	55		
黑颈鸬鹚	Microcarbo niger	54		
红腹山雀	Poecile davidi	54		
中华短翅莺	Locustella tacsanowskia	54		
侏鸬鹚	Microcarbo pygmaeus	53		火柴盒
灰喉针尾雨燕	Hirundapus cochinchinensis	53		
林雕鸮	Bubo nipalensis	52		拉萨石头
茶胸斑啄木鸟	Dendrocopos macei	51		拉萨石头
金胸歌鸲	Calliope pectardens	51		
小鸥	Hydrocoloeus minutus	50		火柴盒
北极鸥	Larus hyperboreus	50		红隼2
长尾夜鹰	Caprimulgus macrurus	50		2-9 云南省曲靖市会泽县云南会泽黑颈鹤国家级自然保护区
细纹噪鹛	Trochalopteron lineatum	50		拉萨石头
棕腹蓝仙鹟	Niltava vivida	50		lanwen
黄胸织雀	Ploceus philippinus	50		
松雀	Pinicola enucleator	50		
黑顶蟆口鸱	Batrachostomus hodgsoni	49		
大树莺	Cettia major	49		
红胸黑雁	Branta ruficollis	48		
西域山鹛	Rhopophilus albosuperciliaris	48		
猛鸮	Surnia ulula	47		无足之鸟
三趾翠鸟	Ceyx erithaca	47		
草原百灵	Melanocorypha calandra	47		
白点噪鹛	Ianthocincla bieti	47		
喜山光背地鸫	Zoothera salimalii	47		拉萨石头
红头灰雀	Pyrrhula erythrocephala	47		拉萨石头
粉红腹岭雀	Leucosticte arctoa	47		无足之鸟，火柴盒
高山金翅雀	Chloris spinoides	47		
雪雁	Anser caerulescens	46		
栗鳽	Gorsachius goisagi	46		
虎头海雕	Haliaeetus pelagicus	46		无足之鸟
鹳嘴翡翠	Pelargopsis capensis	46		
丽䴓	Sitta formosa	46		拉萨石头
白腰燕鸥	Onychoprion aleuticus	45		福建沿海有机会看到
北领角鸮	Otus semitorques	43		
纵纹角鸮	Otus brucei	43		
丽星噪鹛	Trochalopteron imbricatum	43		拉萨石头
海南鳽	Gorsachius magnificus	42		
灰柳莺	Phylloscopus griseolus	42		
白胸鸦雀	Psittiparus ruficeps	42		拉萨石头
暗腹雪鸡	Tetraogallus himalayensis	41		拉萨石头
黑叉尾海燕	Oceanodroma monorhis	41		
亚洲漠地林莺	Curruca nana	41		
雪鹀	Plectrophenax nivalis	41		无足之鸟
丝绒海番鸭	Melanitta fusca	40		
黑嘴松鸡	Tetrao urogalloides	40		
鳞腹绿啄木鸟	Picus squamatus	40		拉萨石头
白尾地鸦	Podoces biddulphi	40		
紫背椋鸟	Agropsar philippensis	40		
蓝喉仙鹟	Cyornis rubeculoides	40		
褐渔鸮	Ketupa zeylonensis	39		Kenneth
冠小嘴乌鸦	Corvus cornix	39		
杂色山雀	Sittiparus varius	39		
