--------------------------
AFRICA ROCKS
----------------
Trumpeter Hornbill	
African Silverbill	
Green Wood hoopoe	
Snowy-crowned Robin-Chat	
Southern Red Bishop	
White-headed Buffalo Weaver	
Southern Ground Hornbill	
African Silverbill	
Blue-headed Wood Dove	
Blue-naped Mousebird	
Common Waxbill	
Emerald-spotted Wood Dove	
Exclamatory Paradise Whydah	
Golden-breasted Bunting	
Golden-breasted Starling	
Magpie Mannikin	
Namaqua Dove	
Northern Carmine Bee-Eater	
Orange-breasted Waxbill	
Pin-tailed Whydah	
Purple Grenadier	
Red-billed Firefinch	
Red-cheeked Cordon-Bleu	
Red-faced Pytilia	
Snowy-crowned Robin-Chat	
Splendid Sunbird	
Taveta Weaver	
Village Indigobird	
Violet-backed Starling	
Laughing Dove	
White-bellied Go-Away-Bird	
White-fronted Bee-Eater	
White-headed Buffalo Weaver	
White-throated Bee-Eater	
Yellow-crowned Bishop	
Yellow-mantled Widowbird	

Australian King Parrot	
Common Emerald Dove	
Metallic Starling	
White-breasted Woodswallow	
Wonga Pigeon
Diamond Dove	
Diamond Firetail	
Double-barred Finch	
Gouldian Finch	
Long-tailed Finch	
Masked Lapwing	
Plum-headed Finch	
Wompoo Fruit Dove
Blue-faced Honeyeater	
Laughing Kookaburra	
Wonga Pigeon	

American Flamingo	
Palm Cockatoo	
