Black Crake	
Blue-bellied roller	
Grey Crowned Crane	
Elegant crested tinamou	
White-throated Piping Guan	
冕鹧鸪	
马来火背鹇	
灰头麻鸭	
美洲红鹳	
日鳽	
尼柯巴鸠	
维多凤冠鸠	
非洲秃鹳	
非洲白鹮	
西牛背鹭	
锤头鹳	
雕鸮	
眼镜鸮	
美洲雕鸮	
虎头海雕	
双角犀鸟	
地犀鸟	
红脸地犀鸟	
笑翠鸟	
蓝黄金刚鹦鹉	
渡鸦	
绒冠蓝鸦	
栗翅鹰	
红尾鵟	
红腿叫鹤	
白颊蕉鹃	
黑嘴天鹅	
雪雁	caerulescens亚种
黑喉噪鹛	
蓝孔雀	
呆头伯劳	
非洲琵鹭	
鸵鸟	
雉鸠	
