Heart of Africa
16	 Eurasian Teal 	Anas crecca	
17	 Marbled Teal 	Marmaronetta angustirostris	
18	 Baer's Pochard 	Aythya baeri	
19	 Mandarin Duck 	Aix galericulata	
20	 Masked Lapwing 	Vanellus miles	
21	 Great Argus 	Argusianus argus	
22	 Golden Pheasant 	Chrysolophus pictus	
23	 Germain's Peacock-pheasant 	Polyplectron germaini	
24	 Grey Junglefowl 	Gallus sonneratii	
25	 Papuan Hornbill 	Rhyticeros plicatus	
26	 Rufous Hornbill 	Buceros hydrocorax	*
27	 Oriental Pied Hornbill 	Anthracoceros albirostris	*
28	 Luzon Hornbill 	Penelopides manillae	
29	 Pied Imperial Pigeon 	Ducula bicolor	
30	 Pink-headed Imperial Pigeon 	Ducula rosacea	
31	 Blue-tailed Imperial Pigeon 	Ducula concinna	
32	 Pink-necked Green Pigeon 	Treron vernans	
33	 Rose-ringed Parakeet 	Psittacula krameri	
34	 Red-breasted Parakeet 	Psittacula alexandri	
35	 Plum-headed Parakeet 	Psittacula cyanocephala	
36	 Hill Myna 	Gracula religiosa	
37	 Crested Myna 	Acridotheres cristatellus	
38	 Bank Myna 	Acridotheres ginginianus	
39	 Rosy Starling 	Pastor roseus	
40	 Asian Pied Starling 	Gracupica contra	
41	 Asian Glossy Starling 	Aplonis panayensis	
42	 Red-billed Blue Magpie 	Urocissa erythroryncha	
43	 Asian Koel 	Eudynamys scolopaceus	
44	 Greater Racket-tailed Drongo 	Dicrurus paradiseus	
45	 Black-naped Oriole 	Oriolus chinensis	
46	 White-crested Laughingthrush 	Garrulax leucolophus	


Species list for Australian Outback

1	 Emu 	Dromaius novaehollandiae	
2	 Straw-necked Ibis 	Threskiornis spinicollis	
3	 Magpie Goose 	Anseranas semipalmata	
4	 Cape Barren Goose 	Cereopsis novaehollandiae	
5	 Australian Wood Duck 	Chenonetta jubata	
6	 Radjah Shelduck 	Radjah radjah	
7	 Freckled Duck 	Stictonetta naevosa	
8	 Laughing Kookaburra 	Dacelo novaeguineae	
9	 Tawny Frogmouth 	Podargus strigoides	
10	 Blue-faced Honeyeater 	Entomyzon cyanotis	
11	 Red-tailed Black Cockatoo 	Calyptorhynchus banksii	
12	 Major Mitchell's Cockatoo 	Cacatua leadbeateri	
13	 Galah 	Eolophus roseicapilla	
14	 Papuan Eclectus 	Eclectus polychloros	
15	 Australian King Parrot 	Alisterus scapularis	
16	 Red-collared Lorikeet 	Trichoglossus rubritorquis	
17	 Coconut Lorikeet 	Trichoglossus haematodus caeruleiceps	
18	 Scaly-breasted Lorikeet 	Trichoglossus chlorolepidotus	
19	 Red-necked Wallaby 	Notamacropus rufogriseus	

Species lists for the 2 aviaries with Cassowaries:

Mysterious Papua
1	 Southern Cassowary 	Casuarius casuarius	
2	 Sclater's Crowned Pigeon 	Goura sclaterii	
3	 White Imperial Pigeon 	Ducula luctuosa	
4	 Pacific Imperial Pigeon 	Ducula pacifica	
6	 Pinon's Imperial Pigeon 	Ducula pinon	
7	 Nicobar Pigeon 	Caloenas nicobarica	
8	 Blue-winged Kookaburra 	Dacelo leachii	
9	 Palm Cockatoo 	Probosciger aterrimus	
10	 Papuan King Parrot	Alisterus chloropterus	
11	 Yellow-streaked Lory	Chalcopsitta scintillata	
12	 Coconut Lorikeet	Trichoglossus haematodus massena	
13	 华丽鹦鹉	Ornate Lorikeet
14	 Iris Lorikeet 	Saudareos iris	
15	 Goldie's Lorikeet 	Glossoptilus goldiei	

Lory Loft
1	 Northern Cassowary 	Casuarius unappendiculatus	
2	 Western Crowned Pigeon 	Goura cristata	
3	 Moluccan Cockatoo 	Cacatua moluccensis	
4	 Blue-eyed Cockatoo 	Cacatua ophthalmica	
5	 White Cockatoo 	Cacatua alba	
6	 Yellow-crested Cockatoo 	Cacatua sulphurea	
7	 Tanimbar Corella 	Cacatua goffiniana	
8	 Coconut Lorikeet 	Trichoglossus haematodus	
9	 Scarlet-breasted Lorikeet 	Trichoglossus forsteni	
10	 Marigold Lorikeet 	Trichoglossus capistratus	
11	 Red-collared Lorikeet 	Trichoglossus rubritorquis	
12	 Red Lory 	Eos bornea	
13	 Yellow-backed Chattering Lory 	Lorius garrulus	flavopalliatus	
14	 Yellow-bibbed Lory 	Lorius chlorocercus	
15	 Purple-naped Lory 	Lorius domicella	
16	 Purple-bellied Lory 	Lorius hypoinochrous	devittatus	
17	 Black-capped Lory 	Lorius lory	
18	 Dusky Lory 	Pseudeos fuscata	
19	 Brown Lory 	Chalcopsitta duivenbodei	
20	 Red-billed Blue Magpie 	Urocissa erythroryncha	
21	 Seychelles Magpie-robin 	Copsychus sechellarum	

Collared Hill Partridge	Arborophila gingica	
Golden Pheasant	Chrysolophus pictus	
Siamese Fireback	Lophura diardi	
Malayan Crested Fireback	Lophura rufa	
Blue Eared Pheasant	Crossoptilon auritum	
Grey Francolin	Ortygornis pondicerianus	
