鸟种编号	中文名	拉丁名	英文名	目	科	定点记	随手记
4375	黑腹滨鹬	Calidris alpina	Dunlin	鸻形目	鹬科	37	1
4378	小滨鹬	Calidris minuta	Little Stint	鸻形目	鹬科	5	0
4381	斑胸滨鹬	Calidris melanotos	Pectoral Sandpiper	鸻形目	鹬科	1	0
4383	半蹼鹬	Limnodromus semipalmatus	Asian Dowitcher	鸻形目	鹬科	7	0
4384	长嘴半蹼鹬	Limnodromus scolopaceus	Long-billed Dowitcher	鸻形目	鹬科	1	0
4390	大沙锥	Gallinago megala	Swinhoe's Snipe	鸻形目	鹬科	2	0
4391	扇尾沙锥	Gallinago gallinago	Common Snipe	鸻形目	鹬科	21	0
4393	红颈瓣蹼鹬	Phalaropus lobatus	Red-necked Phalarope	鸻形目	鹬科	4	0
4395	翘嘴鹬	Xenus cinereus	Terek Sandpiper	鸻形目	鹬科	51	0
4396	矶鹬	Actitis hypoleucos	Common Sandpiper	鸻形目	鹬科	64	1
4397	白腰草鹬	Tringa ochropus	Green Sandpiper	鸻形目	鹬科	16	0
4398	灰尾漂鹬	Tringa brevipes	Grey-tailed Tattler	鸻形目	鹬科	33	0
4401	鹤鹬	Tringa erythropus	Spotted Redshank	鸻形目	鹬科	21	0
4402	青脚鹬	Tringa nebularia	Common Greenshank	鸻形目	鹬科	106	1
4403	红脚鹬	Tringa totanus	Common Redshank	鸻形目	鹬科	54	0
4404	林鹬	Tringa glareola	Wood Sandpiper	鸻形目	鹬科	33	0
4405	泽鹬	Tringa stagnatilis	Marsh Sandpiper	鸻形目	鹬科	27	0
4406	小青脚鹬	Tringa guttifer	Spotted Greenshank	鸻形目	鹬科	4	0
4408	普通燕鸻	Glareola maldivarum	Oriental Pratincole	鸻形目	燕鸻科	11	0
4410	灰燕鸻	Glareola lactea	Small Pratincole	鸻形目	燕鸻科	2	0
4411	白顶玄燕鸥	Anous stolidus	Brown Noddy	鸻形目	鸥科	3	0
4419	棕头鸥	Chroicocephalus brunnicephalus	Brown-headed Gull	鸻形目	鸥科	0	1
4420	红嘴鸥	Chroicocephalus ridibundus	Black-headed Gull	鸻形目	鸥科	38	0
4421	黑嘴鸥	Saundersilarus saundersi	Saunders's Gull	鸻形目	鸥科	16	0
4422	小鸥	Hydrocoloeus minutus	Little Gull	鸻形目	鸥科	1	0
4426	遗鸥	Ichthyaetus relictus	Relict Gull	鸻形目	鸥科	2	0
4427	渔鸥	Ichthyaetus ichthyaetus	Pallas's Gull	鸻形目	鸥科	0	1
4428	黑尾鸥	Larus crassirostris	Black-tailed Gull	鸻形目	鸥科	12	0
4429	普通海鸥	Larus canus	Mew Gull	鸻形目	鸥科	5	0
4433	北极鸥	Larus hyperboreus	Glaucous Gull	鸻形目	鸥科	1	0
4434	西伯利亚银鸥	Larus vegae	Vega Gull	鸻形目	鸥科	20	0
