Struthio molybdophanes	Somali Ostrich
Nettapus pulchellus	Green Pygmy Goose
Nettapus coromandelianus	Cotton Pygmy Goose
Nettapus auritus	African Pygmy Goose
Stictonetta naevosa	Freckled Duck
Heteronetta atricapilla	Black-headed Duck
Nomonyx dominicus	Masked Duck
Oxyura leucocephala	White-headed Duck
Oxyura australis	Blue-billed Duck
Oxyura maccoa	Maccoa Duck
Oxyura vittata	Lake Duck
Oxyura jamaicensis	Ruddy Duck
Plectropterus gambensis	Spur-winged Goose
Malacorhynchus membranaceus	Pink-eared Duck
Coscoroba coscoroba	Coscoroba Swan
Cereopsis novaehollandiae	Cape Barren Goose
Cygnus melancoryphus	Black-necked Swan
Cygnus olor	Mute Swan
Cygnus atratus	Black Swan
Cygnus columbianus	Tundra Swan
Cygnus cygnus	Whooper Swan
Cygnus buccinator	Trumpeter Swan
Branta bernicla	Brant Goose
Branta ruficollis	Red-breasted Goose
Branta sandvicensis	Nene
Branta canadensis	Canada Goose
Branta leucopsis	Barnacle Goose
Branta hutchinsii	Cackling Goose
Anser indicus	Bar-headed Goose
Anser canagicus	Emperor Goose
Anser rossii	Ross's Goose
Anser caerulescens	Snow Goose
Anser anser	Greylag Goose
Anser cygnoides	Swan Goose
Anser erythropus	Lesser White-fronted Goose
Anser albifrons	Greater White-fronted Goose
Anser serrirostris	Tundra Bean Goose
Anser brachyrhynchus	Pink-footed Goose
Anser fabalis	Taiga Bean Goose
Merganetta armata	Torrent Duck
Callonetta leucophrys	Ringed Teal
Cairina moschata	Muscovy Duck
Aix galericulata	Mandarin Duck
Aix sponsa	Wood Duck
Neochen jubata	Orinoco Goose
Chloephaga melanoptera	Andean Goose
Chloephaga picta	Upland Goose
Chloephaga hybrida	Kelp Goose
Chloephaga poliocephala	Ashy-headed Goose
Chloephaga rubidiceps	Ruddy-headed Goose
Radjah radjah	Radjah Shelduck
Alopochen aegyptiaca	Egyptian Goose
Alopochen mauritiana	Mauritius Sheldgoose
Alopochen kervazoi	Reunion Sheldgoose
Tadorna tadorna	Common Shelduck
Tadorna cristata	Crested Shelduck
Tadorna cana	South African Shelduck
Tadorna ferruginea	Ruddy Shelduck
Tadorna variegata	Paradise Shelduck
Tadorna tadornoides	Australian Shelduck
Clangula hyemalis	Long-tailed Duck
Polysticta stelleri	Steller's Eider
Camptorhynchus labradorius	Labrador Duck
Somateria fischeri	Spectacled Eider
Somateria spectabilis	King Eider
Somateria mollissima	Common Eider
Histrionicus histrionicus	Harlequin Duck
Melanitta nigra	Common Scoter
Melanitta americana	Black Scoter
Melanitta perspicillata	Surf Scoter
Melanitta fusca	Velvet Scoter
Melanitta deglandi	White-winged Scoter
Melanitta stejnegeri	Stejneger's Scoter
Bucephala albeola	Bufflehead
Bucephala islandica	Barrow's Goldeneye
Bucephala clangula	Common Goldeneye
Mergellus albellus	Smew
Lophodytes cucullatus	Hooded Merganser
Mergus serrator	Red-breasted Merganser
Mergus squamatus	Scaly-sided Merganser
Mergus octosetaceus	Brazilian Merganser
Mergus australis	New Zealand Merganser
Mergus merganser	Common Merganser
Sarkidiornis melanotos	Knob-billed Duck
Sarkidiornis sylvicola	Comb Duck
Hymenolaimus malacorhynchos	Blue Duck
Chenonetta jubata	Maned Duck
Cyanochen cyanoptera	Blue-winged Goose
Pteronetta hartlaubii	Hartlaub's Duck
Marmaronetta angustirostris	Marbled Duck
Asarcornis scutulata	White-winged Duck
Rhodonessa caryophyllacea	Pink-headed Duck
Netta rufina	Red-crested Pochard
Netta erythrophthalma	Southern Pochard
Netta peposaca	Rosy-billed Pochard
Aythya nyroca	Ferruginous Duck
Aythya innotata	Madagascar Pochard
Aythya baeri	Baer's Pochard
Aythya australis	Hardhead
Aythya ferina	Common Pochard
Aythya valisineria	Canvasback
Aythya collaris	Ring-necked Duck
Aythya americana	Redhead
Aythya fuligula	Tufted Duck
Aythya novaeseelandiae	New Zealand Scaup
Aythya affinis	Lesser Scaup
Aythya marila	Greater Scaup
Salvadorina waigiuensis	Salvadori's Teal
Lophonetta specularioides	Crested Duck
Speculanas specularis	Bronze-winged Duck
Amazonetta brasiliensis	Brazilian Teal
Tachyeres patachonicus	Flying Steamer Duck
Tachyeres pteneres	Fuegian Steamer Duck
Tachyeres brachypterus	Falkland Steamer Duck
Tachyeres leucocephalus	Chubut Steamer Duck
Sibirionetta formosa	Baikal Teal
Spatula querquedula	Garganey
Spatula hottentota	Blue-billed Teal
Spatula puna	Puna Teal
Spatula versicolor	Silver Teal
Spatula platalea	Red Shoveler
Spatula discors	Blue-winged Teal
Spatula cyanoptera	Cinnamon Teal
Spatula smithii	Cape Shoveler
Spatula clypeata	Northern Shoveler
Spatula rhynchotis	Australasian Shoveler
Mareca falcata	Falcated Duck
Mareca strepera	Gadwall
Mareca marecula	Amsterdam Wigeon
Mareca penelope	Eurasian Wigeon
Mareca americana	American Wigeon
Mareca sibilatrix	Chiloe Wigeon
Anas sparsa	African Black Duck
