4065	白翅栖鸭	Asarcornis scutulata	White-winged Duck	雁形目	鸭科
4066	栗树鸭	Dendrocygna javanica	Lesser Whistling Duck 	雁形目	鸭科
4067	白头硬尾鸭	Oxyura leucocephala	White-headed Duck	雁形目	鸭科
4068	疣鼻天鹅	Cygnus olor	Mute Swan	雁形目	鸭科
4069	大天鹅	Cygnus cygnus	Whooper Swan	雁形目	鸭科
4070	小天鹅	Cygnus columbianus	Tundra Swan	雁形目	鸭科
4071	黑雁	Branta bernicla	Brant Goose	雁形目	鸭科
4072	白颊黑雁	Branta leucopsis	Barnacle Goose	雁形目	鸭科
4073	红胸黑雁	Branta ruficollis	Red-breasted Goose	雁形目	鸭科
4074	小美洲黑雁	Branta hutchinsii	Cackling Goose	雁形目	鸭科
4075	加拿大黑雁	Branta canadensis	Canada Goose	雁形目	鸭科
4076	雪雁	Anser caerulescens	Snow Goose	雁形目	鸭科
4077	斑头雁	Anser indicus	Bar-headed Goose	雁形目	鸭科
4078	灰雁	Anser anser	Graylag Goose	雁形目	鸭科
4079	鸿雁	Anser cygnoides	Swan Goose	雁形目	鸭科
4080	豆雁	Anser fabalis	Bean Goose	雁形目	鸭科
4081	短嘴豆雁	Anser serrirostris	Tundra Bean Goose	雁形目	鸭科
4082	白额雁	Anser albifrons	White-fronted Goose	雁形目	鸭科
4083	小白额雁	Anser erythropus	Lesser White-fronted Goose	雁形目	鸭科
4084	长尾鸭	Clangula hyemalis	Long-tailed Duck	雁形目	鸭科
4085	小绒鸭	Polysticta stelleri	Steller's Eider	雁形目	鸭科
4086	丝绒海番鸭	Melanitta fusca	Velvet Scoter 	雁形目	鸭科
4087	斑脸海番鸭	Melanitta stejnegeri	Siberian Scoter	雁形目	鸭科
4088	黑海番鸭	Melanitta americana	Black Scoter	雁形目	鸭科
4089	鹊鸭	Bucephala clangula	Common Goldeneye	雁形目	鸭科
4090	斑头秋沙鸭	Mergellus albellus	Smew	雁形目	鸭科
4091	普通秋沙鸭	Mergus merganser	Common Merganser	雁形目	鸭科
4092	中华秋沙鸭	Mergus squamatus	Chinese Merganser	雁形目	鸭科
4093	红胸秋沙鸭	Mergus serrator	Red-breasted Merganser	雁形目	鸭科
4094	丑鸭	Histrionicus histrionicus	Harlequin Duck	雁形目	鸭科
4095	翘鼻麻鸭	Tadorna tadorna	Common Shelduck	雁形目	鸭科
4096	赤麻鸭	Tadorna ferruginea	Ruddy Shelduck	雁形目	鸭科
4097	瘤鸭	Sarkidiornis melanotos	Comb duck	雁形目	鸭科
4098	棉凫	Nettapus coromandelianus	Cotton Pygmy Goose	雁形目	鸭科
4099	鸳鸯	Aix galericulata	Mandarin Duck	雁形目	鸭科
4100	云石斑鸭	Marmaronetta angustirostris  	Marbled  Teal	雁形目	鸭科
4101	赤嘴潜鸭	Netta rufina	Red-crested Pochard	雁形目	鸭科
4102	红头潜鸭	Aythya ferina	Common Pochard	雁形目	鸭科
4103	帆背潜鸭	Aythya valisineria	Canvasback	雁形目	鸭科
4104	青头潜鸭	Aythya baeri	Baer’s Pochard	雁形目	鸭科
4105	白眼潜鸭	Aythya nyroca	Ferruginous Duck	雁形目	鸭科
4106	环颈潜鸭	Aythya collaris	Ring-necked Duck	雁形目	鸭科
4107	凤头潜鸭	Aythya fuligula	Tufted Duck	雁形目	鸭科
4108	斑背潜鸭	Aythya marila	Greater Scaup	雁形目	鸭科
4109	小潜鸭	Aythya affinis	Lesser Scaup	雁形目	鸭科
4110	白眉鸭	Spatula querquedula	Garganey	雁形目	鸭科
4111	琵嘴鸭	Spatula clypeata	Northern Shoveler	雁形目	鸭科
4112	花脸鸭	Sibirionetta formosa	Baikal Teal	雁形目	鸭科
